row_label_raw,row_label_full,Công ty con,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ phần vốn sở hữu của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ phần vốn sở hữu của Ngân hàng
Công ty TNHH Một thành viên Cho thuê Tài chính Vietcombank,Công ty TNHH Một thành viên Cho thuê Tài chính Vietcombank,Công ty TNHH Một thành viên Cho thuê Tài chính Vietcombank,Giấy phép hoạt động số 66/GP-NHNN ngày 31 tháng 10 năm 2017 của NHNNVN,Cho thuê tài chính,100%,,,1.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Giấy phép hoạt động số 09/GPHĐKD ngày 24 tháng 4 năm 2002 được sửa đổi lần gần đây nhất theo giấy phép số 63/GPĐC-UBCK ngày 29 tháng 12 năm 2017 của Ủy ban Chứng khoán Nhà nước (“UBCKNN”),Chứng khoán,100%,,,1.0
Công ty Tài chính Việt Nam tại Hồng Kông,Công ty Tài chính Việt Nam tại Hồng Kông,Công ty Tài chính Việt Nam tại Hồng Kông,Đăng ký kinh doanh số 0226 do Ủy ban Ngân hàng Hồng Kông cấp ngày 7 tháng 3 năm 1978 và Bản sửa đổi lần 1 cấp ngày 3 tháng 11 năm 1992 và bản sửa đổi lần 2 cấp ngày 19 tháng 9 năm 1995,Dịch vụ tài chính,100%,,,1.0
Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,"Giấy đăng ký kinh doanh số E0321392009-6 do Chính quyền Bang Nevada, Hoa Kỳ cấp ngày 15 tháng 6 năm 2009",Chuyển tiền kiểu hối,"87,5%",,,0.875
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Giấy phép đầu tư số 1578/GP ngày 30 tháng 5 năm 1996 và sửa đổi lần cuối ngày 11 tháng 9 năm 2017 do Bộ Kế hoạch và Đầu tư cấp,Cho thuê văn phòng,70%,,,0.7
Công ty TNHH Một thành viên Kiều hối Vietcombank,Công ty TNHH Một thành viên Kiều hối Vietcombank,Công ty TNHH Một thành viên Kiều hối Vietcombank,Giấy chứng nhận đăng ký doanh nghiệp số 0314633162 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp ngày 20 tháng 09 năm 2017,Nhận tiền kiểu hối,100%,,,1.0
Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Giắp phép hoạt động số 88/BOL ngày 25 tháng 5 năm 2018 do Ngân hàng Nhà nước Lào cấp,Ngân hàng,100%,,,1.0
