row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,31/12/2024,01/01/2024,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,,,
"I. Tiền mặt, vàng bạc, đá quý","A. TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",V.01,332.682.411.624,361.839.512.670,,332682411624.0,361839512670.0
II. Tiền gửi tại Ngân hàng Nhà nước,A. TÀI SẢN > II. Tiền gửi tại Ngân hàng Nhà nước,II. Tiền gửi tại Ngân hàng Nhà nước,V.02,1.307.943.260.441,2.149.614.440.113,,1307943260441.0,2149614440113.0
III. Tiền gửi và cho vay các TCTD khác,A. TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác,III. Tiền gửi và cho vay các TCTD khác,V.03,17.688.962.745.317,21.982.244.913.487,,17688962745317.0,21982244913487.0
1. Tiền gửi tại các TCTD khác,A. TÀI SẢN > 1. Tiền gửi tại các TCTD khác,1. Tiền gửi tại các TCTD khác,,11.888.962.745.317,18.732.244.913.487,,11888962745317.0,18732244913487.0
2. Cho vay các TCTD khác,A. TÀI SẢN > 2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,,5.800.000.000.000,3.250.000.000.000,,5800000000000.0,3250000000000.0
IV. Cho vay khách hàng,A. TÀI SẢN > IV. Cho vay khách hàng,IV. Cho vay khách hàng,,79.157.063.600.968,68.312.370.572.824,,79157063600968.0,68312370572824.0
1. Cho vay khách hàng,A. TÀI SẢN > 1. Cho vay khách hàng,1. Cho vay khách hàng,V.5.1,79.915.536.116.174,69.059.040.694.653,,79915536116174.0,69059040694653.0
2. Dự phòng rủi ro cho vay khách hàng,A. TÀI SẢN > 2. Dự phòng rủi ro cho vay khách hàng,2. Dự phòng rủi ro cho vay khách hàng,V.5.2,(758.472.515.206),(746.670.121.829),,-758472515206.0,-746670121829.0
V. Chứng khoán đầu tư,A. TÀI SẢN > V. Chứng khoán đầu tư,V. Chứng khoán đầu tư,V.06,14.132.542.068.014,7.416.315.961.425,,14132542068014.0,7416315961425.0
1. Chứng khoán đầu tư sẵn sàng để bán,A. TÀI SẢN > 1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,,14.146.614.968.014,7.431.411.470.963,,14146614968014.0,7431411470963.0
2. Dự phòng rủi ro chứng khoán đầu tư,A. TÀI SẢN > 2. Dự phòng rủi ro chứng khoán đầu tư,2. Dự phòng rủi ro chứng khoán đầu tư,,(14.072.900.000),(15.095.509.538),,-14072900000.0,-15095509538.0
