row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,31/12/2015,01/01/2015,numeric__Thuyết minh,numeric__31/12/2015,numeric__01/01/2015
IX. Tài sản cố định,IX. Tài sản cố định,IX. Tài sản cố định,,1.168.506.439.503,1.147.556.680.752,,1168506439503.0,1147556680752.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,V.08,231.116.079.872,219.087.515.726,,231116079872.0,219087515726.0
a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,318.360.001.619,295.578.416.075,,318360001619.0,295578416075.0
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(87.243.921.747),(76.490.900.349),,-87243921747.0,-76490900349.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,,-,-,,,
a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,-,-,,,
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,-,-,,,
3. Tài sản cố định vô hình,b. Hao mòn tài sản cố định > 3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,V.09,937.390.359.631,928.469.165.026,,937390359631.0,928469165026.0
a. Nguyên giá tài sản cố định,b. Hao mòn tài sản cố định > a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,948.489.590.011,937.213.494.011,,948489590011.0,937213494011.0
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(11.099.230.380),(8.744.328.985),,-11099230380.0,-8744328985.0
X. Bất động sản đầu tư,X. Bất động sản đầu tư,X. Bất động sản đầu tư,,-,-,,,
XI. Tài sản cố khác,X. Bất động sản đầu tư > XI. Tài sản cố khác,XI. Tài sản cố khác,V.10,7.403.346.364.572,5.398.535.759.454,,7403346364572.0,5398535759454.0
1. Các khoản phải thu,X. Bất động sản đầu tư > 1. Các khoản phải thu,1. Các khoản phải thu,"V.10.1, 2",2.213.410.430.591,1.086.773.922.350,,2213410430591.0,1086773922350.0
"2. Các khoản lãi, phí phải thu","X. Bất động sản đầu tư > 2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu",,2.410.072.642.146,3.432.160.711.292,,2410072642146.0,3432160711292.0
3. Tài sản thuế TNDN hoãn lại,3. Tài sản thuế TNDN hoãn lại,3. Tài sản thuế TNDN hoãn lại,,-,-,,,
4. Tài sản Có khác,3. Tài sản thuế TNDN hoãn lại > 4. Tài sản Có khác,4. Tài sản Có khác,V.10.3,2.808.722.153.657,893.459.987.634,,2808722153657.0,893459987634.0
- Trong đó: Lợi thế thương mại,- Trong đó: Lợi thế thương mại,- Trong đó: Lợi thế thương mại,,-,-,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,- Trong đó: Lợi thế thương mại > 5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(28.858.861.822),(13.858.861.822),,-28858861822.0,-13858861822.0
TỔNG TẢI SẢN CÓ,- Trong đó: Lợi thế thương mại > TỔNG TẢI SẢN CÓ,TỔNG TẢI SẢN CÓ,,48.230.002.089.499,36.837.068.872.807,,48230002089499.0,36837068872807.0
