row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị ghi số,31/12/2025 > Dự phòng,01/01/2025 > Giá trị ghi số,01/01/2025 > Dự phòng,numeric__31/12/2025 > Giá trị ghi số,numeric__31/12/2025 > Dự phòng,numeric__01/01/2025 > Giá trị ghi số,numeric__01/01/2025 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.748.172.660.300,(65.000.000.000),1.874.500.999.436,(50.000.000.000),1748172660300.0,-65000000000.0,1874500999436.0,-50000000000.0
Đặt cọc theo hợp đồng chuyển nhượng (1),Đặt cọc theo hợp đồng chuyển nhượng (1),Đặt cọc theo hợp đồng chuyển nhượng (1),28.171.274.000,-,11.971.274.000,-,28171274000.0,,11971274000.0,
Phải thu theo hợp đồng hợp tác và các biên bản thỏa thuận (2),Phải thu theo hợp đồng hợp tác và các biên bản thỏa thuận (2),Phải thu theo hợp đồng hợp tác và các biên bản thỏa thuận (2),212.256.241.875,(65.000.000.000),212.256.241.875,-,212256241875.0,-65000000000.0,212256241875.0,
Phải thu theo biên bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (3),Phải thu theo biên bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (3),Phải thu theo biên bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (3),524.000.000.000,-,665.000.000.000,(50.000.000.000),524000000000.0,,665000000000.0,-50000000000.0
Lãi vay dự thu,Lãi vay dự thu,Lãi vay dự thu,29.128.148.399,-,59.235.044.103,-,29128148399.0,,59235044103.0,
Tạm ứng,Tạm ứng,Tạm ứng,369.371.735.322,-,409.780.194.784,-,369371735322.0,,409780194784.0,
Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,435.323.600.000,-,435.297.600.000,-,435323600000.0,,435297600000.0,
Phải thu khác,Phải thu khác,Phải thu khác,149.921.660.704,,80.960.644.674,-,149921660704.0,,80960644674.0,
Dài hạn,Dài hạn,Dài hạn,981.227.136.546,-,567.233.000.000,-,981227136546.0,,567233000000.0,
Phải thu theo các hợp đồng hợp tác đầu tư (4),Phải thu theo các hợp đồng hợp tác đầu tư (4),Phải thu theo các hợp đồng hợp tác đầu tư (4),285.248.000.000,-,199.248.000.000,-,285248000000.0,,199248000000.0,
Phải thu theo các hợp đồng hợp tác đầu tư với cá nhân (5),Phải thu theo các hợp đồng hợp tác đầu tư với cá nhân (5),Phải thu theo các hợp đồng hợp tác đầu tư với cá nhân (5),400.980.000.000,-,367.980.000.000,-,400980000000.0,,367980000000.0,
Phải thu theo hợp đồng môi giới và bao tiêu sản phẩm (6),Phải thu theo hợp đồng môi giới và bao tiêu sản phẩm (6),Phải thu theo hợp đồng môi giới và bao tiêu sản phẩm (6),294.985.136.546,-,-,-,294985136546.0,,,
"Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",14.000.000,-,5.000.000,-,14000000.0,,5000000.0,
Tổng,Tổng,Tổng,2.729.399.796.846,(65.000.000.000),2.441.733.999.436,(50.000.000.000),2729399796846.0,-65000000000.0,2441733999436.0,-50000000000.0
Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minh số 7.1),Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minh số 7.1),Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minh số 7.1),201.104.901.853,-,201.104.901.853,-,201104901853.0,,201104901853.0,
