row_label_raw,row_label_full,Trái chú > Ngân hàng TMCP Kỹ thương Việt Nam > Trong đó: Nợ dài hạn đến hạn trả > Ngân hàng TMCP Kỹ thương Việt Nam > Trong đó: Nợ dài hạn đến hạn trả > Ngân hàng TMCP Kỹ thương Việt Nam > Trong đó: Nợ dài hạn đến hạn trả > Ngân hàng TMCP Kỹ thương Việt Nam > Ngân hàng TMCP Ngoại thương Việt Nam,Ngày 31 tháng 12 năm2016 (VND) > 3.977.982.344.006 > 2.988.092.532.782 > 800.000.000.000 > 1.985.970.833.335 > (1.985.970.833.335) > 990.783.916.667 > 993.855.944.445 > (993.855.944.445) > 990.783.916.667 > 993.855.944.445 > (993.855.944.445) > 1.027.493.470.570 > 1.908.202.159.630,Ngày đảo hạn > Ngày 30 tháng 12năm 2018 > Ngày 16 tháng 9năm 2019 > Ngày 2 tháng 6năm 2017 > Ngày 5 tháng 11năm 2018 > Ngày 25 tháng 11năm 2017 > Ngày 29 tháng 12năm 2018 > Ngày 30 tháng 12năm 2017 > Ngày 18 tháng 2năm 2026 > Ngày 19 tháng 2năm 2021,"Lãi suất năm > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 6 tháng, cộng biên độ 4%. > Lãi suất huy động tiết kiệm trung bình kỳ hạn 6 tháng trả sau bằng VND, cộng biên độ 4%. > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 tháng trả sau bằng VND, cộng biên độ 5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 4,5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 4,5%. > Lãi suất cố định 8,75%/năm > Lãi suất cố định 7,75%/năm",Tải sảnđâm bảo > (i) > (ii) > (iii) > (iv) > (v),numeric__Ngày 31 tháng 12 năm2016 (VND) > 3.977.982.344.006 > 2.988.092.532.782 > 800.000.000.000 > 1.985.970.833.335 > (1.985.970.833.335) > 990.783.916.667 > 993.855.944.445 > (993.855.944.445) > 990.783.916.667 > 993.855.944.445 > (993.855.944.445) > 1.027.493.470.570 > 1.908.202.159.630,numeric__Ngày đảo hạn > Ngày 30 tháng 12năm 2018 > Ngày 16 tháng 9năm 2019 > Ngày 2 tháng 6năm 2017 > Ngày 5 tháng 11năm 2018 > Ngày 25 tháng 11năm 2017 > Ngày 29 tháng 12năm 2018 > Ngày 30 tháng 12năm 2017 > Ngày 18 tháng 2năm 2026 > Ngày 19 tháng 2năm 2021,"numeric__Lãi suất năm > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 6 tháng, cộng biên độ 4%. > Lãi suất huy động tiết kiệm trung bình kỳ hạn 6 tháng trả sau bằng VND, cộng biên độ 4%. > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 tháng trả sau bằng VND, cộng biên độ 5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 4,5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 5%. > Lãi suất tiền gửi tiết kiệm cá nhân bằng VND trả sau, kỳ hạn 12 tháng, cộng biên độ 4,5%. > Lãi suất cố định 8,75%/năm > Lãi suất cố định 7,75%/năm",numeric__Tải sảnđâm bảo > (i) > (ii) > (iii) > (iv) > (v)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.683.338.340.322,,,,12683338340322.0,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,16.657.021.062.547,,,,16657021062547.0,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,(3.973.682.722.225),,,,-3973682722225.0,,,
