row_label_raw,row_label_full,CHỈ TIÊU,Khối lượng giao dịch thực hiện năm 2020,Giá trị khối lượng giao dịch thực hiện trong năm 2020,numeric__Khối lượng giao dịch thực hiện năm 2020,numeric__Giá trị khối lượng giao dịch thực hiện trong năm 2020
a) Của CTCK,a) Của CTCK,a) Của CTCK,,,,
- Cổ phiếu,a) Của CTCK > - Cổ phiếu,- Cổ phiếu,217.827,4.201.300.520,217827.0,4201300520.0
- Trái phiếu,a) Của CTCK > - Trái phiếu,- Trái phiếu,4.000.000,497.016.000.000,4000000.0,497016000000.0
- Chứng khoán ngân quỹ,a) Của CTCK > - Chứng khoán ngân quỹ,- Chứng khoán ngân quỹ,1.294,15.150.700,1294.0,15150700.0
Cộng,a) Của CTCK > Cộng,Cộng,4.219.121,501.232.451.220,4219121.0,501232451220.0
b) Của Nhà đầu tư,b) Của Nhà đầu tư,b) Của Nhà đầu tư,,,,
- Cổ phiếu,b) Của Nhà đầu tư > - Cổ phiếu,- Cổ phiếu,9.982.904.628,138.769.555.347.920,9982904628.0,138769555347920.0
- Trái phiếu,b) Của Nhà đầu tư > - Trái phiếu,- Trái phiếu,8.760.000,880.747.970.000,8760000.0,880747970000.0
- Chứng khoán khác,b) Của Nhà đầu tư > - Chứng khoán khác,- Chứng khoán khác,246.387.800,404.119.815.300,246387800.0,404119815300.0
Cộng,b) Của Nhà đầu tư > Cộng,Cộng,10.238.052.428,140.054.423.133.220,10238052428.0,140054423133220.0
