row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.558,495.913,110.708,106.183,836,738.198,24558.0,495913.0,110708.0,106183.0,836.0,738198.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,6.659,719,5.908,47,13.333,,6659.0,719.0,5908.0,47.0,13333.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(60),(47.114),(3.763),(18.848),(294),(70.079),-60.0,-47114.0,-3763.0,-18848.0,-294.0,-70079.0
Phân loại lại trong năm,Nguyên giá > Phân loại lại trong năm,Phân loại lại trong năm,-,(70),-,70,-,-,,-70.0,,70.0,,
Giảm do nguyên nhân khác,Nguyên giá > Giảm do nguyên nhân khác,Giảm do nguyên nhân khác,-,-,(339),-,-,(339),,,-339.0,,,-339.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.498,455.388,107.325,93.313,589,681.113,24498.0,455388.0,107325.0,93313.0,589.0,681113.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.974,403.966,75.921,88.809,775,579.445,9974.0,403966.0,75921.0,88809.0,775.0,579445.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,415,28.749,8.198,8.634,32,46.028,415.0,28749.0,8198.0,8634.0,32.0,46028.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(18),(46.608),(3.763),(18.653),(294),(69.336),-18.0,-46608.0,-3763.0,-18653.0,-294.0,-69336.0
Phân loại lại trong năm,Giá trị hao mòn lũy kế > Phân loại lại trong năm,Phân loại lại trong năm,-,(6),-,6,-,-,,-6.0,,6.0,,
Tăng do nguyên nhân khác,Giá trị hao mòn lũy kế > Tăng do nguyên nhân khác,Tăng do nguyên nhân khác,-,-,-,37,-,37,,,,37.0,,37.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.371,386.101,80.356,78.833,513,556.174,10371.0,386101.0,80356.0,78833.0,513.0,556174.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,14.584,91.947,34.787,17.374,61,158.753,14584.0,91947.0,34787.0,17374.0,61.0,158753.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,14.127,69.287,26.969,14.480,76,124.939,14127.0,69287.0,26969.0,14480.0,76.0,124939.0
