row_label_raw,row_label_full,col_0,MS,TM,31/12/2016VND,01/01/2016VND,numeric__MS,numeric__TM,numeric__31/12/2016VND,numeric__01/01/2016VND
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,1.550.350.408.454,1.122.235.320.729,100.0,,1550350408454.0,1122235320729.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,295.369.686.097,280.812.638.355,110.0,51.0,295369686097.0,280812638355.0
1. Tiền,1. Tiền,1. Tiền,111,,22.486.667.132,96.612.638.355,111.0,,22486667132.0,96612638355.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,272.883.018.965,184.200.000.000,112.0,,272883018965.0,184200000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.2,134.298.370.409,12.447.190.322,120.0,52.0,134298370409.0,12447190322.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,,134.298.370.409,12.447.190.322,123.0,,134298370409.0,12447190322.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.087.741.243.333,782.549.020.965,130.0,,1087741243333.0,782549020965.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,370.514.575.240,463.327.450.391,131.0,53.0,370514575240.0,463327450391.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,137.951.003.230,150.177.858.846,132.0,54.0,137951003230.0,150177858846.0
5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,135,,155.295.729.915,10.130.000.000,135.0,,155295729915.0,10130000000.0
6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,5.5,424.600.795.647,159.236.472.901,136.0,55.0,424600795647.0,159236472901.0
7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,137,5.6,(620.860.699),(322.761.173),137.0,56.0,-620860699.0,-322761173.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,32.063.514.604,44.539.078.308,140.0,,32063514604.0,44539078308.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,5.7,32.063.514.604,44.539.078.308,141.0,57.0,32063514604.0,44539078308.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,877.594.011,1.887.392.779,150.0,,877594011.0,1887392779.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.11,195.738.698,1.760.114.749,151.0,511.0,195738698.0,1760114749.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,584.921.513,50.213.030,152.0,,584921513.0,50213030.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,5.13,96.933.800,77.065.000,153.0,513.0,96933800.0,77065000.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,4.438.155.977.958,3.938.057.937.203,200.0,,4438155977958.0,3938057937203.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,758.504.802.786,857.894.057.980,210.0,,758504802786.0,857894057980.0
6. Phải thu dài hạn khác,6. Phải thu dài hạn khác,6. Phải thu dài hạn khác,216,5.5,758.504.802.786,857.894.057.980,216.0,55.0,758504802786.0,857894057980.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,28.377.795.646,32.924.640.264,220.0,,28377795646.0,32924640264.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.8,28.128.587.762,32.843.147.117,221.0,58.0,28128587762.0,32843147117.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,50.033.906.610,51.358.998.347,222.0,,50033906610.0,51358998347.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(21.905.318.848),(18.515.851.230),223.0,,-21905318848.0,-18515851230.0
3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,227,5.9,249.207.884,81.493.147,227.0,59.0,249207884.0,81493147.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,842.627.888,656.459.888,228.0,,842627888.0,656459888.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(593.420.004),(574.966.741),229.0,,-593420004.0,-574966741.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,5.10,1.814.248.260.646,1.435.094.037.096,240.0,510.0,1814248260646.0,1435094037096.0
