row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong kỳ > Năm trước > Tăng,Số tăng/ giảm trong kỳ > Năm trước > Giảm,Số tăng/ giảm trong kỳ > Năm nay > Tăng,Số tăng/ giảm trong kỳ > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong kỳ > Năm trước > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm trước > Giảm,numeric__Số tăng/ giảm trong kỳ > Năm nay > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.5.Vốn khác của chủ sở hữu > 4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,41.537.764.591,48.866.408.602,7.328.644.011,,8.956.839.287,,48.866.408.602,57.823.247.889,,41537764591.0,48866408602.0,7328644011.0,,8956839287.0,,48866408602.0,57823247889.0
5.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,5.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,5.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,,,,,,,,,,,,,,,,,
6.Chênh lệch tỷ giá hối đoai,6.Chênh lệch tỷ giá hối đoai,6.Chênh lệch tỷ giá hối đoai,,,,,,,,,,,,,,,,,,
7. Các Quỹ khác thuộc vốn chủ sở hữu,7. Các Quỹ khác thuộc vốn chủ sở hữu,7. Các Quỹ khác thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
8. Lợi nhuận chưa phân phối,7. Các Quỹ khác thuộc vốn chủ sở hữu > 8. Lợi nhuận chưa phân phối,8. Lợi nhuận chưa phân phối,,245.222.060.591,259.621.708.865,179.218.337.818,164.818.689.544,490.145.791.200,185.048.918.943,259.621.708.865,564.718.581.122,,245222060591.0,259621708865.0,179218337818.0,164818689544.0,490145791200.0,185048918943.0,259621708865.0,564718581122.0
8.1. Lợi nhuận sau thuế đã thực hiện (**),7. Các Quỹ khác thuộc vốn chủ sở hữu > 8.1. Lợi nhuận sau thuế đã thực hiện (**),8.1. Lợi nhuận sau thuế đã thực hiện (**),,245.222.060.591,259.540.156.789,179.136.785.742,164.818.689.544,237.896.737.210,184.883.187.148,259.540.156.789,312.553.706.851,,245222060591.0,259540156789.0,179136785742.0,164818689544.0,237896737210.0,184883187148.0,259540156789.0,312553706851.0
8.2. Lợi nhuận chưa thực hiện,7. Các Quỹ khác thuộc vốn chủ sở hữu > 8.2. Lợi nhuận chưa thực hiện,8.2. Lợi nhuận chưa thực hiện,,,81.552.076,81.552.076,,252.249.053.990,165.731.795,81.552.076,252.164.874.271,,,81552076.0,81552076.0,,252249053990.0,165731795.0,81552076.0,252164874271.0
Cộng,7. Các Quỹ khác thuộc vốn chủ sở hữu > Cộng,Cộng,,1.433.410.959.773,1.552.797.351.669,284.203.382.080,164.816.990.184,607.421.739.634,185.042.589.153,1.552.797.351.669,1.975.176.502.150,,1433410959773.0,1552797351669.0,284203382080.0,164816990184.0,607421739634.0,185042589153.0,1552797351669.0,1975176502150.0
II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,,,,,,,,,,,,,,,,,,
Cộng,Cộng,Cộng,,,,,,,,,,,,,,,,,,
