row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,5.475.579.344.268,4.798.485.691.494,,100.0,,5475579344268.0,4798485691494.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,76.631.571.631,113.801.624.400,,110.0,,76631571631.0,113801624400.0
1.,1.,1.,Tiền,111,,38.168.774.346,22.258.226.896,,111.0,,38168774346.0,22258226896.0
2.,2.,2.,Các khoản tương đương tiền,112,,38.462.797.285,91.543.397.504,,112.0,,38462797285.0,91543397504.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,1.300.000.000,1.300.000.000,,120.0,,1300000000.0,1300000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2a,1.300.000.000,1.300.000.000,,123.0,,1300000000.0,1300000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,869.773.300.530,931.491.861.838,,130.0,,869773300530.0,931491861838.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,832.058.590.293,883.883.312.901,,131.0,,832058590293.0,883883312901.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,3.699.065.429,10.979.047.525,,132.0,,3699065429.0,10979047525.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.5a,33.912.484.840,36.629.501.412,,136.0,,33912484840.0,36629501412.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.6,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,103.159.968,-,,139.0,,103159968.0,
IV.,IV.,IV.,Hàng tồn kho,140,,4.391.732.746.859,3.748.717.395.377,,140.0,,4391732746859.0,3748717395377.0
1.,1.,1.,Hàng tồn kho,141,V.7,4.391.732.746.859,3.748.717.395.377,,141.0,,4391732746859.0,3748717395377.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,136.141.725.248,3.174.809.879,,150.0,,136141725248.0,3174809879.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.8a,3.494.731.064,3.174.809.879,,151.0,,3494731064.0,3174809879.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,132.646.994.184,-,,152.0,,132646994184.0,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,-,-,,153.0,,,
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
