row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,Loại trừ nội bộ và điều chỉnh VND,numeric__Kinh doanh khí và các sản phẩm khí VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,numeric__Loại trừ nội bộ và điều chỉnh VND
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,104.151.039.062.605,646.982.005.734,(14.844.114.555.014),104151039062605.0,646982005734.0,-14844114555014.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(91.291.345.885.312),(731.390.205.741),14.975.022.286.740,-91291345885312.0,-731390205741.0,14975022286740.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(87.153.983.122.314),(689.068.258.884),14.814.066.323.571,-87153983122314.0,-689068258884.0,14814066323571.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.666.359.002.808),(311.965.489),122.799.105.206,-2666359002808.0,-311965489.0,122799105206.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(1.471.003.760.190),(42.009.981.368),38.156.857.963,-1471003760190.0,-42009981368.0,38156857963.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,12.859.693.177.293,(84.408.200.007),130.907.731.726,12859693177293.0,-84408200007.0,130907731726.0
Phần lãi trong các công ty liên kết Doanh thu hoạt động tài chính,Phần lãi trong các công ty liên kết Doanh thu hoạt động tài chính,Phần lãi trong các công ty liên kết Doanh thu hoạt động tài chính,,,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,,
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,
