row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,5.432.386.352.910,6.822.724.244.608,,100.0,,5432386352910.0,6822724244608.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,287.329.109.189,100.119.976.513,,110.0,,287329109189.0,100119976513.0
1.,1.,1.,Tiền,111,,287.329.109.189,100.119.976.513,,111.0,,287329109189.0,100119976513.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,21.381.661.250,115.317.637.140,,120.0,,21381661250.0,115317637140.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,21.381.661.250,21.381.661.250,,121.0,,21381661250.0,21381661250.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,-,(1.064.024.110),,122.0,,,-1064024110.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.b,-,95.000.000.000,,123.0,,,95000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,5.047.616.591.947,6.533.168.219.877,,130.0,,5047616591947.0,6533168219877.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,1.188.709.468.044,1.899.611.214.894,,131.0,,1188709468044.0,1899611214894.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,90.750.003.468,126.161.449.240,,132.0,,90750003468.0,126161449240.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5a,2.599.305.341.915,3.088.724.764.043,,135.0,,2599305341915.0,3088724764043.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6,1.241.091.708.278,1.550.075.160.202,,136.0,,1241091708278.0,1550075160202.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(72.239.929.758),(131.404.368.502),,137.0,,-72239929758.0,-131404368502.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,,41.133.973,2.310.730.984,,140.0,,41133973.0,2310730984.0
1.,1.,1.,Hàng tồn kho,141,,41.133.973,2.310.730.984,,141.0,,41133973.0,2310730984.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,76.017.856.551,71.807.680.094,,150.0,,76017856551.0,71807680094.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,53.708.179.933,48.278.670.567,,151.0,,53708179933.0,48278670567.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,21.648.078.493,23.517.992.162,,152.0,,21648078493.0,23517992162.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.13,661.598.125,11.017.365,,153.0,,661598125.0,11017365.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
