row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2017 > Tăng vốn trong năm (**) > Lợi nhuận trong năm,Vốn góp của chủ sở hữu VND > 582.745.770.000 > 98.274.570.000 > -,Thặng dư vốn cổ phần VND > - > 876.761.282.458 > -,Cổ phiếu quỹ VND > (7.090.000) > -,Quỹ đầu tư phát triển VND > 144.087.556.918 > -,Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 40) > 452.554.796.426 > - > 724.856.448.060,Tổng cộng VND(Trình bày lại – Thuyết minh 40) > 1.579.381.033.344 > 975.035.852.458 > 724.856.448.060,numeric__Vốn góp của chủ sở hữu VND > 582.745.770.000 > 98.274.570.000 > -,numeric__Thặng dư vốn cổ phần VND > - > 876.761.282.458 > -,numeric__Cổ phiếu quỹ VND > (7.090.000) > -,numeric__Quỹ đầu tư phát triển VND > 144.087.556.918 > -,numeric__Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 40) > 452.554.796.426 > - > 724.856.448.060,numeric__Tổng cộng VND(Trình bày lại – Thuyết minh 40) > 1.579.381.033.344 > 975.035.852.458 > 724.856.448.060
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,(186.720.419.400),(186.720.419.400),,,,,-186720419400.0,-186720419400.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,78.000.000.000,(78.000.000.000),-,,,,78000000000.0,-78000000000.0,
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 19)",-,-,-,-,(45.000.000.000),(45.000.000.000),,,,,-45000000000.0,-45000000000.0
"Trích quỹ hoạt động của HBQT, Ban Điều hành và Ban Kiểm soát","Trích quỹ hoạt động của HBQT, Ban Điều hành và Ban Kiểm soát","Trích quỹ hoạt động của HBQT, Ban Điều hành và Ban Kiểm soát",-,-,-,-,(6.750.000.000),(6.750.000.000),,,,,-6750000000.0,-6750000000.0
Trích thưởng HBQT và Ban Điều hành,Trích thưởng HBQT và Ban Điều hành,Trích thưởng HBQT và Ban Điều hành,-,-,-,-,(12.200.000.000),(12.200.000.000),,,,,-12200000000.0,-12200000000.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.081.020.340.000,876.751.282.458,(7.090.000),220.087.556.918,850.740.825.088,3.028.602.914.462,1081020340000.0,876751282458.0,-7090000.0,220087556918.0,850740825088.0,3028602914462.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 24) (*),Chia cổ tức bằng cổ phiếu(Thuyết minh 24) (*),Chia cổ tức bằng cổ phiếu(Thuyết minh 24) (*),540.372.900.000,-,-,-,(540.372.900.000),-,540372900000.0,,,,-540372900000.0,
Phát hành cổ phiếu theo chương trìnhIyá chơn cho ngườn lao động (**),Phát hành cổ phiếu theo chương trìnhIyá chơn cho ngườn lao động (**),Phát hành cổ phiếu theo chương trìnhIyá chơn cho ngườn lao động (**),48.636.580.000,48.636.580.000,-,-,-,97.273.160.000,48636580000.0,48636580000.0,,,,97273160000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,959.923.347.147,959.923.347.147,,,,,959923347147.0,959923347147.0
Chi trả cổ tức (**) (**),Chi trả cổ tức (**) (**),Chi trả cổ tức (**) (**),-,-,-,-,(270.239.940.000),(270.239.940.000),,,,,-270239940000.0,-270239940000.0
Trích quỹ khen thưởng phúc lợi(Thuyết minh 19) (*),Trích quỹ khen thưởng phúc lợi(Thuyết minh 19) (*),Trích quỹ khen thưởng phúc lợi(Thuyết minh 19) (*),-,-,-,-,(38.664.053.705),(36.664.053.705),,,,,-38664053705.0,-36664053705.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,-,-,45.000.000.000,(45.000.000.000),-,,,,45000000000.0,-45000000000.0,
Trích thưởng HBQT và Ban Điều hành (*),Trích thưởng HBQT và Ban Điều hành (*),Trích thưởng HBQT và Ban Điều hành (*),-,-,-,-,(33.822.000.000),(33.822.000.000),,,,,-33822000000.0,-33822000000.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.670.029.820.000,925.387.862.458,(7.090.000),265.087.556.918,864.565.278.528,3.745.073.427.904,1670029820000.0,925387862458.0,-7090000.0,265087556918.0,864565278528.0,3745073427904.0
