row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,33.791.148.944.276,60.910.714.714.940,3.859.844.765.754,253.656.841.419,153.149.008.232,7.854.859.223,98.976.369.133.844,33791148944276.0,60910714714940.0,3859844765754.0,253656841419.0,153149008232.0,7854859223.0,98976369133844.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.099.213.630,183.568.124.695,25.706.908.104,26.626.603.026,-,21.030.348.867,259.031.198.322,2099213630.0,183568124695.0,25706908104.0,26626603026.0,,21030348867.0,259031198322.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,2.736.199.955.931,4.631.363.122.769,564.634.263.381,28.101.066.204,56.740.083.036,43.976.586.315,8.061.015.077.636,2736199955931.0,4631363122769.0,564634263381.0,28101066204.0,56740083036.0,43976586315.0,8061015077636.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(7.503.973.816),(2.616.079.056),(15.883.778.689),-,-,(26.003.831.561),,-7503973816.0,-2616079056.0,-15883778689.0,,,-26003831561.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(62.447.559.006),(176.645.210.414),(36.957.490.835),(2.248.244.981),(56.750.006.944),-,(335.048.512.180),-62447559006.0,-176645210414.0,-36957490835.0,-2248244981.0,-56750006944.0,,-335048512180.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(890.538.089),478.538.089,1.277.394.454,(828.134.454),-,(37.260.000),-,-890538089.0,478538089.0,1277394454.0,-828134454.0,,-37260000.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(2.632.764.115),(6.790.312.439),(3.251.938.836),444.452.759,-,-,(12.230.562.631),-2632764115.0,-6790312439.0,-3251938836.0,444452759.0,,,-12230562631.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,36.463.477.252.627,65.535.185.003.824,4.408.637.822.966,289.868.805.284,153.139.084.324,72.824.534.405,106.923.132.503.430,36463477252627.0,65535185003824.0,4408637822966.0,289868805284.0,153139084324.0,72824534405.0,106923132503430.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.352.534.376.382,20.837.529.786.149,1.350.609.569.864,154.894.073.958,76.560.230.622,5.087.415.333,28.777.215.452.308,6352534376382.0,20837529786149.0,1350609569864.0,154894073958.0,76560230622.0,5087415333.0,28777215452308.0
