row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạn > Quá hạn trên 3 tháng VND,Quá hạn > Quá hạn đến 3 tháng VND,Quá hạn > Đến 1 tháng VND,Quá hạn > Từ trên 1 đến 3 tháng VND,Trong hạn > Từ trên 3 đến 12 tháng VND,Trong hạn > Từ trên 1 đến 5 năm VND,Trong hạn > Trên 5 năm VND,Trong hạn > Tổng VND,numeric__Quá hạn > Quá hạn trên 3 tháng VND,numeric__Quá hạn > Quá hạn đến 3 tháng VND,numeric__Quá hạn > Đến 1 tháng VND,numeric__Quá hạn > Từ trên 1 đến 3 tháng VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng VND,numeric__Trong hạn > Từ trên 1 đến 5 năm VND,numeric__Trong hạn > Trên 5 năm VND,numeric__Trong hạn > Tổng VND
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,4.800.000.000,-,155.595.390.361,193.680.004.700,370.453.968.510,856.610.689.700,525.193.766.555,2.106.333.819.826,4800000000.0,,155595390361.0,193680004700.0,370453968510.0,856610689700.0,525193766555.0,2106333819826.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),591.135.354.898,864.574.041.527,13.359.484.517.956,7.911.363.323.986,11.155.969.874.770,24.849.186.510.275,26.426.650.839.700,85.158.364.463.112,591135354898.0,864574041527.0,13359484517956.0,7911363323986.0,11155969874770.0,24849186510275.0,26426650839700.0,85158364463112.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.190.499.448,18.255.045.975,310.764.332.180,-,-,335.209.877.603,,,6190499448.0,18255045975.0,310764332180.0,,,335209877603.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,13.414.374.488.241,2.702.388.000.000,-,185.353.675.000,1.514.064.160,16.303.630.227.401,,,13414374488241.0,2702388000000.0,,185353675000.0,1514064160.0,16303630227401.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,24.921.135.846.645,8.532.063.531.725,16.932.580.514.672,2.879.228.269.664,786.949.500,53.265.795.112.206,,,24921135846645.0,8532063531725.0,16932580514672.0,2879228269664.0,786949500.0,53265795112206.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,468.769.750.000,650.416.875.000,183.219.155.000,1.287.248.122.849,55.811.889.518,2.645.465.792.367,,,468769750000.0,650416875000.0,183219155000.0,1287248122849.0,55811889518.0,2645465792367.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,294.510.246.362,4.067.179.019.571,-,4.361.689.265.933,,,,,294510246362.0,4067179019571.0,,4361689265933.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,191.463.076.781,211.242.269.077,749.975.523.904,151.595.800.776,94.788.772,1.304.371.459.310,,,191463076781.0,211242269077.0,749975523904.0,151595800776.0,94788772.0,1304371459310.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,39.001.933.661.115,12.114.365.721.777,18.471.049.772.118,8.570.604.887.860,58.207.691.950,78.216.161.734.820,,,39001933661115.0,12114365721777.0,18471049772118.0,8570604887860.0,58207691950.0,78216161734820.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],591.135.354.898,864.574.041.527,(25.642.449.143.159),(4.203.002.397.791),(7.315.079.897.348),16.278.581.622.415,26.368.443.147.750,6.942.202.728.292,591135354898.0,864574041527.0,-25642449143159.0,-4203002397791.0,-7315079897348.0,16278581622415.0,26368443147750.0,6942202728292.0
