row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,5.632.480.189.826,4.691.054.841.743,,100.0,,5632480189826.0,4691054841743.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,43.305.574.290,129.067.828.987,,110.0,,43305574290.0,129067828987.0
1.,1.,1.,Tiền,111,,43.305.574.290,129.067.828.987,,111.0,,43305574290.0,129067828987.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,1.501.601.291.666,601.507.157.420,,120.0,,1501601291666.0,601507157420.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,183.020.000.000,183.020.000.000,,121.0,,183020000000.0,183020000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,(5.347.708.334),(5.418.875.000),,122.0,,-5347708334.0,-5418875000.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2b,1.323.929.000.000,423.906.032.420,,123.0,,1323929000000.0,423906032420.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.599.188.814.645,3.515.818.869.187,,130.0,,3599188814645.0,3515818869187.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,369.134.649.119,496.684.408.742,,131.0,,369134649119.0,496684408742.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,97.704.005.925,121.274.144.998,,132.0,,97704005925.0,121274144998.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5,49.336.798.592,34.265.504.000,,135.0,,49336798592.0,34265504000.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,3.151.952.140.140,2.976.196.845.086,,136.0,,3151952140140.0,2976196845086.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(68.938.779.131),(112.602.033.639),,137.0,,-68938779131.0,-112602033639.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.8,427.044.678.929,385.691.962.736,,140.0,,427044678929.0,385691962736.0
1.,1.,1.,Hàng tồn kho,141,,437.703.536.426,395.579.997.486,,141.0,,437703536426.0,395579997486.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(10.658.857.497),(9.888.034.750),,149.0,,-10658857497.0,-9888034750.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,61.339.830.296,58.969.023.413,,150.0,,61339830296.0,58969023413.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,4.147.369.634,10.183.933.813,,151.0,,4147369634.0,10183933813.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,56.787.551.911,48.171.307.156,,152.0,,56787551911.0,48171307156.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.19a,404.908.751,613.782.444,,153.0,,404908751.0,613782444.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
