row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,100,,4.665.386.022.190,6.036.290.815.466,,100.0,,4665386022190.0,6036290815466.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,68.075.924.740,29.482.879.719,,110.0,,68075924740.0,29482879719.0
1.,1.,1.,Tiền,111,,67.525.924.740,29.482.879.719,,111.0,,67525924740.0,29482879719.0
2.,2.,2.,Các khoản tương đương tiền,112,,550.000.000,-,,112.0,,550000000.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,17.000.000.000,11.130.000.000,,120.0,,17000000000.0,11130000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2a,17.000.000.000,11.130.000.000,,123.0,,17000000000.0,11130000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.583.378.328.039,5.088.527.426.607,,130.0,,3583378328039.0,5088527426607.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,3.518.691.350.382,5.071.731.428.383,,131.0,,3518691350382.0,5071731428383.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,13.949.144.029,13.657.630.371,,132.0,,13949144029.0,13657630371.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5a,4.380.000.000,-,,135.0,,4380000000.0,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,46.271.175.626,3.051.709.736,,136.0,,46271175626.0,3051709736.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,86.658.002,86.658.117,,139.0,,86658002.0,86658117.0
IV.,IV.,IV.,Hàng tồn kho,140,,989.390.585.293,906.937.193.285,,140.0,,989390585293.0,906937193285.0
1.,1.,1.,Hàng tồn kho,141,V.7,989.390.585.293,906.937.193.285,,141.0,,989390585293.0,906937193285.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,7.541.184.118,213.315.855,,150.0,,7541184118.0,213315855.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.8a,4.083.045.676,125.086.541,,151.0,,4083045676.0,125086541.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,3.404.383.257,88.229.314,,152.0,,3404383257.0,88229314.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.15,53.755.185,-,,153.0,,53755185.0,
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
