row_label_raw,row_label_full,Trả trước cho người bán ngắn hạn,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Trả trước cho người bán là bên liên quan,Trả trước cho người bán là bên liên quan,Trả trước cho người bán là bên liên quan,7.335.286.419,-,147.599.530.342,-,7335286419.0,,147599530342.0,
Công ty CP Đầu từ phát triển Phương Nam,Công ty CP Đầu từ phát triển Phương Nam,Công ty CP Đầu từ phát triển Phương Nam,7.335.286.419,-,143.249.987.066,-,7335286419.0,,143249987066.0,
Công ty CP Bất Động Sản DIC,Công ty CP Bất Động Sản DIC,Công ty CP Bất Động Sản DIC,-,-,3.470.381.534,-,,,3470381534.0,
Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,-,-,879.161.742,-,,,879161742.0,
Trả trước ngắn hạn cho người bán bên ngoài,Trả trước ngắn hạn cho người bán bên ngoài,Trả trước ngắn hạn cho người bán bên ngoài,38.146.555.934,-,51.850.482.296,-,38146555934.0,,51850482296.0,
Công ty Cổ Phần Công Trình Giao Thông 68,Công ty Cổ Phần Công Trình Giao Thông 68,Công ty Cổ Phần Công Trình Giao Thông 68,10.312.541.774,-,10.312.541.774,-,10312541774.0,,10312541774.0,
Công ty TNHH Phước An,Công ty TNHH Phước An,Công ty TNHH Phước An,7.035.975.501,-,3.382.964.777,-,7035975501.0,,3382964777.0,
Công ty CP ĐTPTXD Phước An,Công ty CP ĐTPTXD Phước An,Công ty CP ĐTPTXD Phước An,-,-,12.586.641.114,-,,,12586641114.0,
Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,-,-,6.374.848.000,-,,,6374848000.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,20.798.038.659,-,19.193.486.631,-,20798038659.0,,19193486631.0,
Cộng,Cộng,Cộng,45.481.842.353,-,199.450.012.638,-,45481842353.0,,199450012638.0,
