row_label_raw,row_label_full,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,,,
"I. Tiền mặt, vàng bạc, đá quý","A. TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",4.1,330.713.532.909,332.682.411.624,41.0,330713532909.0,332682411624.0
II. Tiền gửi tại Ngân hàng Nhà nước,A. TÀI SẢN > II. Tiền gửi tại Ngân hàng Nhà nước,II. Tiền gửi tại Ngân hàng Nhà nước,4.2,1.130.892.390.822,1.307.943.260.441,42.0,1130892390822.0,1307943260441.0
III. Tiền gửi và cho vay các TCTD khác,A. TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác,III. Tiền gửi và cho vay các TCTD khác,4.3,22.327.706.658.791,17.688.962.745.317,43.0,22327706658791.0,17688962745317.0
1. Tiền gửi tại các TCTD khác,A. TÀI SẢN > 1. Tiền gửi tại các TCTD khác,1. Tiền gửi tại các TCTD khác,4.3.1,19.627.706.658.791,11.888.962.745.317,431.0,19627706658791.0,11888962745317.0
2. Cho vay các TCTD khác,A. TÀI SẢN > 2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,4.3.2,2.700.000.000.000,5.800.000.000.000,432.0,2700000000000.0,5800000000000.0
3. Dự phòng rủi ro,3. Dự phòng rủi ro,3. Dự phòng rủi ro,,-,-,,,
V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,3. Dự phòng rủi ro > V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,4.4,201.725.492.000,-,44.0,201725492000.0,
VI. Cho vay khách hàng,3. Dự phòng rủi ro > VI. Cho vay khách hàng,VI. Cho vay khách hàng,4.5,87.680.386.166.857,79.157.063.600.968,45.0,87680386166857.0,79157063600968.0
1. Cho vay khách hàng,3. Dự phòng rủi ro > 1. Cho vay khách hàng,1. Cho vay khách hàng,4.5.1,88.741.515.803.254,79.915.536.116.174,451.0,88741515803254.0,79915536116174.0
