row_label_raw,row_label_full,A - TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
2. Dự phòng rủi ro hoạt động mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,,-,-,,,
VIII. Chứng khoán đầu tư,2. Dự phòng rủi ro hoạt động mua nợ > VIII. Chứng khoán đầu tư,VIII. Chứng khoán đầu tư,V.7,830.764,1.460.500,,830764.0,1460500.0
1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,,-,-,,,
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,1. Chứng khoán đầu tư sẵn sàng để bán > 2. Chứng khoán đầu tư giữ đến ngày đáo hạn,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,V.7,830.764,1.553.963,,830764.0,1553963.0
3. Dự phòng rủi ro chứng khoán đầu tư,1. Chứng khoán đầu tư sẵn sàng để bán > 3. Dự phòng rủi ro chứng khoán đầu tư,3. Dự phòng rủi ro chứng khoán đầu tư,V.7,-,(93.463),,,-93463.0
"IX. Góp vốn, đầu tư dài hạn","1. Chứng khoán đầu tư sẵn sàng để bán > IX. Góp vốn, đầu tư dài hạn","IX. Góp vốn, đầu tư dài hạn",,14.521,14.521,,14521.0,14521.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,,-,-,,,
2. Vốn góp liên doanh,2. Vốn góp liên doanh,2. Vốn góp liên doanh,,-,-,,,
3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,,-,-,,,
4. Đầu tư dài hạn khác,3. Đầu tư vào công ty liên kết > 4. Đầu tư dài hạn khác,4. Đầu tư dài hạn khác,V.8,14.521,14.521,,14521.0,14521.0
5. Dự phòng giảm giá đầu tư dài hạn,5. Dự phòng giảm giá đầu tư dài hạn,5. Dự phòng giảm giá đầu tư dài hạn,,-,-,,,
X. Tài sản cố định,5. Dự phòng giảm giá đầu tư dài hạn > X. Tài sản cố định,X. Tài sản cố định,,1.528.792,1.487.690,,1528792.0,1487690.0
1. Tài sản cố định hữu hình,5. Dự phòng giảm giá đầu tư dài hạn > 1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,V.9,786.352,781.619,,786352.0,781619.0
a. Nguyên giá tài sản cố định,5. Dự phòng giảm giá đầu tư dài hạn > a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,1.058.357,999.961,,1058357.0,999961.0
b. Hao mòn tài sản cố định,5. Dự phòng giảm giá đầu tư dài hạn > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(272.005),(218.342),,-272005.0,-218342.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,,-,-,,,
a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,-,-,,,
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,-,-,,,
3. Tài sản cố định vô hình,b. Hao mòn tài sản cố định > 3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,V.10,742.440,706.071,,742440.0,706071.0
a. Nguyên giá tài sản cố định,b. Hao mòn tài sản cố định > a. Nguyên giá tài sản cố định,a. Nguyên giá tài sản cố định,,808.435,759.323,,808435.0,759323.0
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(65.995),(53.252),,-65995.0,-53252.0
XI. Bất động sản đầu tư,b. Hao mòn tài sản cố định > XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,V.11,94.310,96.353,,94310.0,96353.0
a. Nguyên giá bất động sản đầu tư,b. Hao mòn tài sản cố định > a. Nguyên giá bất động sản đầu tư,a. Nguyên giá bất động sản đầu tư,,98.921,98.921,,98921.0,98921.0
b. Hao mòn bất động sản đầu tư,b. Hao mòn tài sản cố định > b. Hao mòn bất động sản đầu tư,b. Hao mòn bất động sản đầu tư,,(4.611),(2.568),,-4611.0,-2568.0
XII. Tài sản có khác,b. Hao mòn tài sản cố định > XII. Tài sản có khác,XII. Tài sản có khác,,1.878.714,2.260.999,,1878714.0,2260999.0
1. Các khoản phải thu,b. Hao mòn tài sản cố định > 1. Các khoản phải thu,1. Các khoản phải thu,V.12,245.786,317.959,,245786.0,317959.0
"2. Các khoản lãi, phí phải thu","b. Hao mòn tài sản cố định > 2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu",V.13,1.270.241,1.561.344,,1270241.0,1561344.0
3. Tài sản thuế thu nhập doanh nghiệp hoãn lại,3. Tài sản thuế thu nhập doanh nghiệp hoãn lại,3. Tài sản thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,
4. Tài sản có khác,3. Tài sản thuế thu nhập doanh nghiệp hoãn lại > 4. Tài sản có khác,4. Tài sản có khác,V.14,366.812,385.821,,366812.0,385821.0
Trong đó: lợi thế thương mại,Trong đó: lợi thế thương mại,Trong đó: lợi thế thương mại,,-,-,,,
5. Các khoản dự phòng rủi ro cho các tài sản,Trong đó: lợi thế thương mại > 5. Các khoản dự phòng rủi ro cho các tài sản,5. Các khoản dự phòng rủi ro cho các tài sản,,(4.125),(4.125),,-4125.0,-4125.0
TỔNG TÀI SẢN CÓ,Trong đó: lợi thế thương mại > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,51.102.121,42.309.803,,51102121.0,42309803.0
