row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
7,"14.1 Đầu tư vào công ty liên doanh, liên kết > 7",7,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nùng Áng,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nùng Áng,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nùng Áng,"40,00%","40,00%","40,00%","40,00%",,,,0.4,0.4,0.4,0.4
8,"14.1 Đầu tư vào công ty liên doanh, liên kết > 8",8,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,"39,97%","39,97%","39,97%","39,97%",,,,0.3997,0.3997,0.3997,0.3997
9,"14.1 Đầu tư vào công ty liên doanh, liên kết > 9",9,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,"35,00%","35,00%","35,00%","35,00%",,,,0.35,0.35,0.35,0.35
10,"14.1 Đầu tư vào công ty liên doanh, liên kết > 10",10,Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,"35,00%","35,00%","35,00%","35,00%",,,,0.35,0.35,0.35,0.35
11,"14.1 Đầu tư vào công ty liên doanh, liên kết > 11",11,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,"31,07%","31,07%","31,07%","31,07%",,,,0.3107,0.3107,0.3107,0.3107
12,"14.1 Đầu tư vào công ty liên doanh, liên kết > 12",12,Công ty Cổ phần Gố lang Buôn Ma Thuột,Công ty Cổ phần Gố lang Buôn Ma Thuột,Công ty Cổ phần Gố lang Buôn Ma Thuột,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
13,"14.1 Đầu tư vào công ty liên doanh, liên kết > 13",13,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
14,"14.1 Đầu tư vào công ty liên doanh, liên kết > 14",14,Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
15,"14.1 Đầu tư vào công ty liên doanh, liên kết > 15",15,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforímex Hà Nội,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforímex Hà Nội,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforímex Hà Nội,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
16,"14.1 Đầu tư vào công ty liên doanh, liên kết > 16",16,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
17,"14.1 Đầu tư vào công ty liên doanh, liên kết > 17",17,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
18,"14.1 Đầu tư vào công ty liên doanh, liên kết > 18",18,Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,"30,00%","30,00%","30,00%","30,00%",,,,0.3,0.3,0.3,0.3
19,"14.1 Đầu tư vào công ty liên doanh, liên kết > 19",19,Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,"29,69%","29,69%","29,69%","29,69%",,,,0.2969,0.2969,0.2969,0.2969
20,"14.1 Đầu tư vào công ty liên doanh, liên kết > 20",20,Công ty TNHH Nguyên liệu Giấy Quy Nhơn,Công ty TNHH Nguyên liệu Giấy Quy Nhơn,Công ty TNHH Nguyên liệu Giấy Quy Nhơn,"22,00%","22,00%","22,00%","22,00%",,,,0.22,0.22,0.22,0.22
21,"14.1 Đầu tư vào công ty liên doanh, liên kết > 21",21,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,"20,00%","20,00%","20,00%","20,00%",,,,0.2,0.2,0.2,0.2
22,"14.1 Đầu tư vào công ty liên doanh, liên kết > 22",22,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,"15,56%","30,10%","15,56%","30,10%",,,,0.15560000000000002,0.301,0.15560000000000002,0.301
