row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị ghi số,31/12/2018 > Dự phòng,01/01/2018 > Giá trị ghi số,01/01/2018 > Dự phòng,numeric__31/12/2018 > Giá trị ghi số,numeric__31/12/2018 > Dự phòng,numeric__01/01/2018 > Giá trị ghi số,numeric__01/01/2018 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,669.836.275.020,-,445.805.943.471,(39.000.000.000),669836275020.0,,445805943471.0,-39000000000.0
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",-,-,80.000.000.000,-,,,80000000000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,24.454.327.385,-,137.209.118.459,-,24454327385.0,,137209118459.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,645.381.947.635,-,228.596.825.012,(39.000.000.000),645381947635.0,,228596825012.0,-39000000000.0
Công ty CPĐT Hạ Tầng-Kinh Doanh Đô Thị,Công ty CPĐT Hạ Tầng-Kinh Doanh Đô Thị,Công ty CPĐT Hạ Tầng-Kinh Doanh Đô Thị,-,-,49.000.000.000,(39.000.000.000),,,49000000000.0,-39000000000.0
Phạm Văn Định,Phạm Văn Định,Phạm Văn Định,-,-,96.095.260.000,-,,,96095260000.0,
Đình Thế Quỳnh,Đình Thế Quỳnh,Đình Thế Quỳnh,-,-,28.428.000.000,-,,,28428000000.0,
Công ty Cổ phần đầu tư và Xây dựng Thương mại Thành Nhân,Công ty Cổ phần đầu tư và Xây dựng Thương mại Thành Nhân,Công ty Cổ phần đầu tư và Xây dựng Thương mại Thành Nhân,-,-,37.200.000.000,-,,,37200000000.0,
Công ty cổ phần Bất Động Sản Hải Phát (1),Công ty cổ phần Bất Động Sản Hải Phát (1),Công ty cổ phần Bất Động Sản Hải Phát (1),605.000.000.000,-,1.415.426.012,-,605000000000.0,,1415426012.0,
Công ty cổ phần bất động sản Phú Minh Hưng (2),Công ty cổ phần bất động sản Phú Minh Hưng (2),Công ty cổ phần bất động sản Phú Minh Hưng (2),30.000.000.000,-,-,-,30000000000.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,10.381.947.635,-,16.458.139.000,-,10381947635.0,,16458139000.0,
Trong đó phải thu khác các bên liên quan,Trong đó phải thu khác các bên liên quan,Trong đó phải thu khác các bên liên quan,,,,,,,,
Công ty CP Thương mại Địa ốc Bình Minh,Trong đó phải thu khác các bên liên quan > Công ty CP Thương mại Địa ốc Bình Minh,Công ty CP Thương mại Địa ốc Bình Minh,100.000.000,-,100.000.000,-,100000000.0,,100000000.0,
Công ty TNHH MTV Địa ốc Châu Sơn,Trong đó phải thu khác các bên liên quan > Công ty TNHH MTV Địa ốc Châu Sơn,Công ty TNHH MTV Địa ốc Châu Sơn,-,-,6.800.000,-,,,6800000.0,
Dài hạn,Trong đó phải thu khác các bên liên quan > Dài hạn,Dài hạn,321.000.000.000,-,52.060.870.000,-,321000000000.0,,52060870000.0,
"- Ký cược, ký quỹ (3)","Trong đó phải thu khác các bên liên quan > - Ký cược, ký quỹ (3)","- Ký cược, ký quỹ (3)",300.000.000.000,-,-,-,300000000000.0,,,
- Phải thu khác,Trong đó phải thu khác các bên liên quan > - Phải thu khác,- Phải thu khác,21.000.000.000,-,52.060.870.000,-,21000000000.0,,52060870000.0,
Công ty CP đầu tư TC - TMDV FICO,Trong đó phải thu khác các bên liên quan > Công ty CP đầu tư TC - TMDV FICO,Công ty CP đầu tư TC - TMDV FICO,-,-,1.060.870.000,-,,,1060870000.0,
Công ty CP Vietinco (4),Trong đó phải thu khác các bên liên quan > Công ty CP Vietinco (4),Công ty CP Vietinco (4),21.000.000.000,-,21.000.000.000,-,21000000000.0,,21000000000.0,
Xí nghiệp Xây dựng tư nhân số 1,Trong đó phải thu khác các bên liên quan > Xí nghiệp Xây dựng tư nhân số 1,Xí nghiệp Xây dựng tư nhân số 1,-,-,30.000.000.000,-,,,30000000000.0,
Tổng,Trong đó phải thu khác các bên liên quan > Tổng,Tổng,990.836.275.020,-,497.866.813.471,(39.000.000.000),990836275020.0,,497866813471.0,-39000000000.0
