row_label_raw,row_label_full,a) Ngắn hạn,149.430.820.552,365.979.737.197,numeric__149.430.820.552,numeric__365.979.737.197
Bên khác,Bên khác,Bên khác,144.572.853.252,365.714.964.594,144572853252.0,365714964594.0
+ Công Ty Cổ Phần Vistar,+ Công Ty Cổ Phần Vistar,+ Công Ty Cổ Phần Vistar,533.973.610,533.973.610,533973610.0,533973610.0
+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,+ Công ty CP SATRA Thái Sơn,6.851.211.068,6.974.620.468,6851211068.0,6974620468.0
+ Công ty CP Đầu Cá Châu Á,+ Công ty CP Đầu Cá Châu Á,+ Công ty CP Đầu Cá Châu Á,,21.713.920.060,,21713920060.0
+ Công ty mua bán điện,+ Công ty mua bán điện,+ Công ty mua bán điện,50.082.969.596,38.094.242.460,50082969596.0,38094242460.0
+ Công ty CP Xuất Khẩu Thuy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thuy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thuy Hải Sản Sạch,12.700.437.401,,12700437401.0,
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,74.404.261.577,298.398.207.996,74404261577.0,298398207996.0
Bên liên quan,Bên liên quan,Bên liên quan,4.857.967.300,264.772.603,4857967300.0,264772603.0
+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,+ Công ty CP Nhựt Hồng,4.857.967.300,,4857967300.0,
+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,,264.772.603,,264772603.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,
Cộng,b) Dải hạn > Cộng,Cộng,149.430.820.552,365.979.737.197,149430820552.0,365979737197.0
