row_label_raw,row_label_full,col_0,Trong nước triệu đồng,Nước ngoài triệu đồng,Tổng cộng triệu đồng,numeric__Trong nước triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản vào ngày 31 tháng 12 năm 2017,Tài sản vào ngày 31 tháng 12 năm 2017,Tài sản vào ngày 31 tháng 12 năm 2017,115.184.821,199.732,115.384.553,115184821.0,199732.0,115384553.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,10.075.822,199.143,10.274.965,10075822.0,199143.0,10274965.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,79.864.220,-,79.864.220,79864220.0,,79864220.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,955.774,-,955.774,955774.0,,955774.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,24.004.335,-,24.004.335,24004335.0,,24004335.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",284.670,589,285.259,284670.0,589.0,285259.0
Công nợ vào ngày 31 tháng 12 năm 2017,Công nợ vào ngày 31 tháng 12 năm 2017,Công nợ vào ngày 31 tháng 12 năm 2017,98.614.931,13.829.048,112.443.979,98614931.0,13829048.0,112443979.0
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,1.000.000,-,1.000.000,1000000.0,,1000000.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,23.759.276,9.936.240,33.695.516,23759276.0,9936240.0,33695516.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,64.721.163,3.892.808,68.613.971,64721163.0,3892808.0,68613971.0
Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,89.431,-,89.431,89431.0,,89431.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,9.045.061,-,9.045.061,9045061.0,,9045061.0
Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2017,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2017,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2017,40.360.323,-,40.360.323,40360323.0,,40360323.0
