row_label_raw,row_label_full,Đơn vị tính: VND > Dự án,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Dự án Khu đô thị Cần Giờ,Dự án Khu đô thị Cần Giờ,Dự án Khu đô thị Cần Giờ,12.273.714.689.320,12.243.684.937.843,12273714689320.0,12243684937843.0
Dự án Vinhomes Central Park,Dự án Vinhomes Central Park,Dự án Vinhomes Central Park,2.642.045.375.209,3.929.866.564.685,2642045375209.0,3929866564685.0
Dự án Vinhomes Metropolis,Dự án Vinhomes Metropolis,Dự án Vinhomes Metropolis,1.581.236.366.722,3.518.540.132.293,1581236366722.0,3518540132293.0
Dự án Khu đô thị Gia Lâm,Dự án Khu đô thị Gia Lâm,Dự án Khu đô thị Gia Lâm,1.566.673.525.805,108.044.747.462,1566673525805.0,108044747462.0
Dự án Vinhomes Golden River,Dự án Vinhomes Golden River,Dự án Vinhomes Golden River,1.321.716.493.173,533.896.719.755,1321716493173.0,533896719755.0
Các dự án về nông nghiệp,Các dự án về nông nghiệp,Các dự án về nông nghiệp,1.180.726.564.843,1.276.545.915.977,1180726564843.0,1276545915977.0
Dự án Vinhomes Smart City,Dự án Vinhomes Smart City,Dự án Vinhomes Smart City,1.118.860.549.445,989.138.707.862,1118860549445.0,989138707862.0
Dự án Vinhomes Melodia,Dự án Vinhomes Melodia,Dự án Vinhomes Melodia,869.446.057.339,823.768.956.046,869446057339.0,823768956046.0
Dự án Cổ Loa,Dự án Cổ Loa,Dự án Cổ Loa,706.146.938.493,44.292.427.562,706146938493.0,44292427562.0
Dự án Vinhomes Cầu Rào 2,Dự án Vinhomes Cầu Rào 2,Dự án Vinhomes Cầu Rào 2,700.172.268.056,-,700172268056.0,
Dự án Vinfast,Dự án Vinfast,Dự án Vinfast,685.023.176.672,-,685023176672.0,
Dự án Vinpearl Nam Hội An,Dự án Vinpearl Nam Hội An,Dự án Vinpearl Nam Hội An,710.392.064.844,-,710392064844.0,
Dự án bệnh viện Vinmec,Dự án bệnh viện Vinmec,Dự án bệnh viện Vinmec,646.470.735.470,499.261.077.964,646470735470.0,499261077964.0
Dự án Làng hoa Tiền Phong,Dự án Làng hoa Tiền Phong,Dự án Làng hoa Tiền Phong,636.545.018.848,-,636545018848.0,
"Dự án sân golf Cồn Âu, Cần Thơ","Dự án sân golf Cồn Âu, Cần Thơ","Dự án sân golf Cồn Âu, Cần Thơ",601.844.855.723,456.273.969.231,601844855723.0,456273969231.0
Dự án Vincom Thanh Hóa,Dự án Vincom Thanh Hóa,Dự án Vincom Thanh Hóa,586.292.767.938,116.648.455.745,586292767938.0,116648455745.0
Dự án các khu vui chơi giải trí Vinpearlland,Dự án các khu vui chơi giải trí Vinpearlland,Dự án các khu vui chơi giải trí Vinpearlland,1.918.864.883.095,639.686.691.498,1918864883095.0,639686691498.0
"Dự án Vincom Hùng Vương, Huế","Dự án Vincom Hùng Vương, Huế","Dự án Vincom Hùng Vương, Huế",477.338.918.308,185.547.295.582,477338918308.0,185547295582.0
Dự án Vinpearl Cửa Sót,Dự án Vinpearl Cửa Sót,Dự án Vinpearl Cửa Sót,-,80.314.018.516,,80314018516.0
Dự án Vinhomes Skylake,Dự án Vinhomes Skylake,Dự án Vinhomes Skylake,428.837.554.802,-,428837554802.0,
Dự án Vinhomes Star,Dự án Vinhomes Star,Dự án Vinhomes Star,426.501.750.131,423.119.239.394,426501750131.0,423119239394.0
Dự án Vinpearl Quy Nhơn,Dự án Vinpearl Quy Nhơn,Dự án Vinpearl Quy Nhơn,414.924.862.649,413.960.206.942,414924862649.0,413960206942.0
Dự án Vinhomes Imperia Hải Phòng,Dự án Vinhomes Imperia Hải Phòng,Dự án Vinhomes Imperia Hải Phòng,378.159.192.398,1.130.454.940.277,378159192398.0,1130454940277.0
Dự án cảng hành khách quốc tế,Dự án cảng hành khách quốc tế,Dự án cảng hành khách quốc tế,364.512.528.297,254.586.113.776,364512528297.0,254586113776.0
Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,304.514.286.800,546.856.749.478,304514286800.0,546856749478.0
