row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2017,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2017
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.203.560.766.190,2.449.895.089.496,,,2203560766190.0,2449895089496.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,48.041.832.242,236.778.859.306,,5.0,48041832242.0,236778859306.0
111,111,111,1. Tiền,,26.041.832.242,41.778.859.306,,,26041832242.0,41778859306.0
112,112,112,2. Các khoản tương đương tiền,,22.000.000.000,195.000.000.000,,,22000000000.0,195000000000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,1.134.130.134.301,1.655.906.460.102,,,1134130134301.0,1655906460102.0
121,121,121,1. Chứng khoán kinh doanh,6.1,672.115.840.325,780.929.638.922,,61.0,672115840325.0,780929638922.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,6.1,(155.427.606.024),(143.443.252.400),,61.0,-155427606024.0,-143443252400.0
123,123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,6.2,617.441.900.000,1.018.420.073.580,,62.0,617441900000.0,1018420073580.0
130,130,130,III. Các khoản phải thu ngắn hạn,7,978.856.246.575,518.002.791.191,,7.0,978856246575.0,518002791191.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,,963.714.774.950,499.815.929.120,,,963714774950.0,499815929120.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,418.455.750,3.738.304.250,,,418455750.0,3738304250.0
136,136,136,3. Phải thu ngắn hạn khác,,14.723.015.875,14.448.557.821,,,14723015875.0,14448557821.0
150,150,150,IV. Tài sản ngắn hạn khác,,42.532.553.072,39.206.978.897,,,42532553072.0,39206978897.0
151,151,151,1. Chi phí trả trước ngắn hạn,8,16.010.407.574,13.345.384.298,,8.0,16010407574.0,13345384298.0
152,152,152,2. Thuế GTGT được khấu trừ,13,24.247.602.976,25.861.594.599,,13.0,24247602976.0,25861594599.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,13,2.274.542.522,-,,13.0,2274542522.0,
200,200,200,B. TÀI SẢN DÀI HẠN,,11.564.012.972.478,10.409.688.460.025,,,11564012972478.0,10409688460025.0
220,220,220,I. Tài sản cố định,,418.209.103.694,343.664.481.425,,,418209103694.0,343664481425.0
221,221,221,1. Tài sản cố định hữu hình,9,355.385.543.795,273.845.477.726,,9.0,355385543795.0,273845477726.0
222,222,222,Nguyên giá,,721.122.347.143,615.826.339.024,,,721122347143.0,615826339024.0
223,223,223,Giá trị hao mòn lũy kế,,(365.736.803.348),(341.980.861.298),,,-365736803348.0,-341980861298.0
227,227,227,2. Tài sản cố định vô hình,10,62.823.559.899,69.819.003.699,,10.0,62823559899.0,69819003699.0
228,228,228,Nguyên giá,,159.243.252.699,159.748.063.092,,,159243252699.0,159748063092.0
229,229,229,Giá trị hao mòn lũy kế,,(96.419.692.800),(89.929.059.393),,,-96419692800.0,-89929059393.0
240,240,240,II. Tài sản dở dang dài hạn,,483.521.823.970,311.803.667.561,,,483521823970.0,311803667561.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,11,483.521.823.970,311.803.667.561,,11.0,483521823970.0,311803667561.0
250,250,250,III. Đầu tư tài chính dài hạn,,10.553.016.474.050,9.618.552.105.222,,,10553016474050.0,9618552105222.0
251,251,251,1. Đầu tư vào công ty con và BVIF,6.3,7.052.286.148.720,6.161.291.148.720,,63.0,7052286148720.0,6161291148720.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",6.3,2.153.200.000.000,2.178.003.290.000,,63.0,2153200000000.0,2178003290000.0
255,255,255,3. Đầu tư nằm giữ đến ngày đáo hạn,6.2,1.347.530.325.330,1.279.257.666.502,,62.0,1347530325330.0,1279257666502.0
260,260,260,IV. Tài sản dài hạn khác,,109.265.570.764,135.668.205.817,,,109265570764.0,135668205817.0
261,261,261,1. Chi phí trả trước dài hạn,8,103.583.000.764,124.585.635.817,,8.0,103583000764.0,124585635817.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,23.2,5.682.570.000,11.082.570.000,,232.0,5682570000.0,11082570000.0
270,270,270,TỔNG CỘNG TÀI SẢN,,13.767.573.738.668,12.859.583.549.521,,,13767573738668.0,12859583549521.0
