row_label_raw,row_label_full,Các bên có liên quan,Bản chất giao dịch,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Bản chất giao dịch,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Thu hồi tạm ứng,-,290.500.000.000,,,290500000000.0
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,307.192.000.000,55.525.400.000,,307192000000.0,55525400000.0
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Lãi tạm ứng,9.110.464.108,-,,9110464108.0,
Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Cho vay,-,232.460.000.000,,,232460000000.0
Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Lãi cho vay,5.811.500.000,2.085.771.123,,5811500000.0,2085771123.0
Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Đặt cọc mua cổ phần,720.000.000.000,-,,720000000000.0,
Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Thu hồi gốc cho vay,109.980.050.000,100.000.000.000,,109980050000.0,100000000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Cho vay,-,418.450.000.000,,,418450000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Công ty Cổ phần Đầu tư Sài Gòn - Nhơn Hội,Lãi cho vay phải thu,3.106.849.318,7.339.815.072,,3106849318.0,7339815072.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Thu hồi gốc cho vay,151.496.835.994,323.460.000.000,,151496835994.0,323460000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Cho vay,-,34.500.000.000,,,34500000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi cho vay phải thu,42.503.179.651,45.607.279.609,,42503179651.0,45607279609.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Thu gốc hợp đồng hợp tác kinh doanh,-,40.000.000.000,,,40000000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Nhận lãi cho vay,-,33.808.646.827,,,33808646827.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi hợp tác kinh doanh,-,27.125.479.452,,,27125479452.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Thu lãi hợp đồng kinh doanh,-,27.125.479.452,,,27125479452.0
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Cho vay,190.700.000.000,115.400.000.000,,190700000000.0,115400000000.0
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Thu hồi gốc cho vay,-,223.860.000.000,,,223860000000.0
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi cho vay phải thu,-,5.805.569.861,,,5805569861.0
Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Nhận thanh toán lãi cho vay,-,9.000.000.000,,,9000000000.0
Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Lãi vay,9.000.000,-,,9000000.0,
Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Trả nợ gốc vay,30.000.000.000,-,,30000000000.0,
Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Trả lãi vay,598.879.723,-,,598879723.0,
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Tạm ứng,11.078.102.264,28.976.100.000,,11078102264.0,28976100000.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Chỉ phí tiếp khách,3.902.587.127,-,,3902587127.0,
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Thu hồi tạm ứng,11.078.102.264,28.976.100.000,,11078102264.0,28976100000.0
