row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,9.843.164.683.248,9.843.164.683.248,105.380.797.629.326,99.367.436.672.700,15.856.525.639.874,15.856.525.639.874,9843164683248.0,9843164683248.0,105380797629326.0,99367436672700.0,15856525639874.0,15856525639874.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,5.015.000.000.000,5.015.000.000.000,24.283.000.000.000,23.298.000.000.000,6.000.000.000.000,6.000.000.000.000,5015000000000.0,5015000000000.0,24283000000000.0,23298000000000.0,6000000000000.0,6000000000000.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,1.400.000.000.000,1.400.000.000.000,39.283.377.197.298,34.833.377.197.298,5.850.000.000.000,5.850.000.000.000,1400000000000.0,1400000000000.0,39283377197298.0,34833377197298.0,5850000000000.0,5850000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,1.720.164.683.248,1.720.164.683.248,36.082.894.792.154,35.403.059.475.402,2.400.000.000.000,2.400.000.000.000,1720164683248.0,1720164683248.0,36082894792154.0,35403059475402.0,2400000000000.0,2400000000000.0
Ngân Hàng Nông Nghiệp Và Phát Triển Nông Thôn Việt Nam - Chi Nhánh Thăng Long,Ngân Hàng Nông Nghiệp Và Phát Triển Nông Thôn Việt Nam - Chi Nhánh Thăng Long,Ngân Hàng Nông Nghiệp Và Phát Triển Nông Thôn Việt Nam - Chi Nhánh Thăng Long,-,-,2.526.525.639.874,920.000.000.000,1.606.525.639.874,1.606.525.639.874,,,2526525639874.0,920000000000.0,1606525639874.0,1606525639874.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,795.000.000.000,795.000.000.000,795.000.000.000,1.590.000.000.000,-,-,795000000000.0,795000000000.0,795000000000.0,1590000000000.0,,
Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội,670.000.000.000,670.000.000.000,1.320.000.000.000,1.990.000.000.000,-,-,670000000000.0,670000000000.0,1320000000000.0,1990000000000.0,,
Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,243.000.000.000,243.000.000.000,-,243.000.000.000,-,-,243000000000.0,243000000000.0,,243000000000.0,,
Ngân hàng Citibank - Chi nhánh Hà Nội,Ngân hàng Citibank - Chi nhánh Hà Nội,Ngân hàng Citibank - Chi nhánh Hà Nội,-,-,1.090.000.000.000,1.090.000.000.000,-,-,,,1090000000000.0,1090000000000.0,,
,,,9.843.164.683.248,9.843.164.683.248,105.380.797.629.326,99.367.436.672.700,15.856.525.639.874,15.856.525.639.874,9843164683248.0,9843164683248.0,105380797629326.0,99367436672700.0,15856525639874.0,15856525639874.0
