row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội (i),Ngắn hạn > Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội (i),Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội (i),435.736.501.000,15.736.501.000,435736501000.0,15736501000.0
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (ii),Ngắn hạn > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (ii),Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc (ii),134.100.000.000,184.100.000.000,134100000000.0,184100000000.0
Công ty Cổ phần Đầu tư Bất động sản Saigontel (iii),Ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản Saigontel (iii),Công ty Cổ phần Đầu tư Bất động sản Saigontel (iii),95.013.698.629,50.000.000.000,95013698629.0,50000000000.0
Tổng Công ty Xây dựng Hà Nội – CTCP (iv),Ngắn hạn > Tổng Công ty Xây dựng Hà Nội – CTCP (iv),Tổng Công ty Xây dựng Hà Nội – CTCP (iv),70.805.469.057,-,70805469057.0,
Công ty Cổ phần Đầu tư Sài Gòn – Huế (v),Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn – Huế (v),Công ty Cổ phần Đầu tư Sài Gòn – Huế (v),65.000.000.000,-,65000000000.0,
Công ty Cổ phần Đầu tư và Du lịch Sài Gòn – Lâm Đồng (vi),Ngắn hạn > Công ty Cổ phần Đầu tư và Du lịch Sài Gòn – Lâm Đồng (vi),Công ty Cổ phần Đầu tư và Du lịch Sài Gòn – Lâm Đồng (vi),14.077.232.877,12.000.000.000,14077232877.0,12000000000.0
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (vii),Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (vii),Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (vii),11.144.473.296,50.000.000.000,11144473296.0,50000000000.0
Công ty Cổ phần Du lịch Sài Gòn – Hàm Tân (viii),Ngắn hạn > Công ty Cổ phần Du lịch Sài Gòn – Hàm Tân (viii),Công ty Cổ phần Du lịch Sài Gòn – Hàm Tân (viii),9.600.000.000,-,9600000000.0,
Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (ix),Ngắn hạn > Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (ix),Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (ix),9.248.752.669,50.000.000.000,9248752669.0,50000000000.0
Công ty Cổ phần Dịch vụ Bưu chính Viễn thông Sài Gòn (x),Ngắn hạn > Công ty Cổ phần Dịch vụ Bưu chính Viễn thông Sài Gòn (x),Công ty Cổ phần Dịch vụ Bưu chính Viễn thông Sài Gòn (x),7.555.225.802,-,7555225802.0,
Phải thu về cho vay các công ty khác,Ngắn hạn > Phải thu về cho vay các công ty khác,Phải thu về cho vay các công ty khác,14.151.107.689,8.383.300.000,14151107689.0,8383300000.0
Phải thu cho vay các bên liên quan(Thuyết minh số 29),Ngắn hạn > Phải thu cho vay các bên liên quan(Thuyết minh số 29),Phải thu cho vay các bên liên quan(Thuyết minh số 29),58.647.561.337,21.492.687.097,58647561337.0,21492687097.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,925.080.022.356,391.712.488.097,925080022356.0,391712488097.0
Dự phòng phải thu khác về cho vay khó đòi,Ngắn hạn > Dự phòng phải thu khác về cho vay khó đòi,Dự phòng phải thu khác về cho vay khó đòi,(500.000.000),(500.000.000),-500000000.0,-500000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công ty Cổ phần Dịch vụ Kinh Bắc (xi),Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (xi),Công ty Cổ phần Dịch vụ Kinh Bắc (xi),139.910.000.000,-,139910000000.0,
Các bên khác,Dài hạn > Các bên khác,Các bên khác,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,140.910.000.000,1.000.000.000,140910000000.0,1000000000.0
