row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
"Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác",33.499.204.836.459,26.717.023.325.927,33499204836459.0,26717023325927.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,16.722.572.017.450,19.104.610.086.186,16722572017450.0,19104610086186.0
"Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí",12.733.992.143.686,10.592.596.679.822,12733992143686.0,10592596679822.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,12.532.556.029.515,13.058.855.033.539,12532556029515.0,13058855033539.0
Xây dựng,Xây dựng,Xây dựng,9.363.793.514.185,11.921.364.043.605,9363793514185.0,11921364043605.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,8.846.534.398.858,8.261.253.579.734,8846534398858.0,8261253579734.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",6.999.956.756.400,7.622.417.635.892,6999956756400.0,7622417635892.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",5.913.009.935.955,6.158.529.645.742,5913009935955.0,6158529645742.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",2.472.096.207.549,2.138.546.477.100,2472096207549.0,2138546477100.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,1.289.643.206.298,944.009.947.002,1289643206298.0,944009947002.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",912.176.268.705,1.861.347.068.583,912176268705.0,1861347068583.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,560.882.454.002,711.428.703.970,560882454002.0,711428703970.0
Các ngành khác,Các ngành khác,Các ngành khác,35.360.048.446.509,10.710.587.535.523,35360048446509.0,10710587535523.0
,,,147.206.466.215.571,119.802.569.762.625,147206466215571.0,119802569762625.0
