row_label_raw,row_label_full,Quá hạnVND,Không nhạy cảm với lãi suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5 nămVND,Tổng cộngVND,numeric__Không nhạy cảm với lãi suấtVND,numeric__Đến 1 thángVND,numeric__Từ 1 - 3 thángVND,numeric__Từ 3 - 6 thángVND,numeric__Từ 6 - 12 thángVND,numeric__Từ 1 - 5 nămVND,numeric__Trên 5 nămVND,numeric__Tổng cộngVND
-,-,-,779.733.563.086,-,-,-,-,-,-,779.733.563.086,779733563086.0,,,,,,,779733563086.0
-,-,-,6.965.365.039.785,-,-,-,-,-,-,6.965.365.039.785,6965365039785.0,,,,,,,6965365039785.0
-,-,-,1.607.194.945.061,26.132.420.329.808,5.628.619.067.385,387.663.518.256,34.591.619.000,109.727.000.000,-,33.900.216.479.510,1607194945061.0,26132420329808.0,5628619067385.0,387663518256.0,34591619000.0,109727000000.0,,33900216479510.0
-,-,-,41.473.565.365,-,-,-,-,-,-,41.473.565.365,41473565365.0,,,,,,,41473565365.0
7.381.706.130.213,7.381.706.130.213,7.381.706.130.213,-,24.901.368.032.882,49.860.716.794.404,48.812.590.031.467,12.281.092.538.804,4.519.892.687.801,-,147.757.366.215.571,,24901368032882.0,49860716794404.0,48812590031467.0,12281092538804.0,4519892687801.0,,147757366215571.0
-,-,-,2.367.881.120.516,-,3.450.000.000.000,4.534.400.000.000,14.669.600.000.000,1.120.916.600.000,14.188.600.000.000,40.331.397.720.516,2367881120516.0,,3450000000000.0,4534400000000.0,14669600000000.0,1120916600000.0,14188600000000.0,40331397720516.0
-,-,-,554.565.039.650,-,-,-,-,-,-,554.565.039.650,554565039650.0,,,,,,,554565039650.0
4.800.000.000,4.800.000.000,4.800.000.000,12.330.080.871.665,-,-,-,-,-,-,12.334.880.871.665,12330080871665.0,,,,,,,12334880871665.0
7.386.506.130.213,7.386.506.130.213,7.386.506.130.213,24.646.294.145.128,51.033.788.362.690,58.939.335.861.789,53.734.653.549.723,26.985.284.157.804,5.750.536.287.801,14.188.600.000.000,242.664.998.495.148,24646294145128.0,51033788362690.0,58939335861789.0,53734653549723.0,26985284157804.0,5750536287801.0,14188600000000.0,242664998495148.0
-,-,-,-,-,-,-,94.394.453.562,-,-,94.394.453.562,,,,,94394453562.0,,,94394453562.0
-,-,-,-,28.094.766.607.720,2.528.020.778.861,193.538.011.800,124.812.562.389,98.727.234.997,-,31.039.865.195.767,,28094766607720.0,2528020778861.0,193538011800.0,124812562389.0,98727234997.0,,31039865195767.0
-,-,-,-,45.793.241.026.171,34.198.219.980.560,29.352.425.118.125,13.117.130.228.585,3.484.841.866.398,74.198.720,125.945.932.418.559,,45793241026171.0,34198219980560.0,29352425118125.0,13117130228585.0,3484841866398.0,74198720.0,125945932418559.0
-,-,-,-,-,1.673.701.778,1.692.896.500,487.097.252.500,3.867.731.403.035,-,4.358.195.253.813,,,1673701778.0,1692896500.0,487097252500.0,3867731403035.0,,4358195253813.0
-,-,-,-,2.030.000.000.000,3.400.000.000.000,780.000.000.000,-,31.598.325.000.000,-,37.808.325.000.000,,2030000000000.0,3400000000000.0,780000000000.0,,31598325000000.0,,37808325000000.0
-,-,-,12.331.858.934.888,-,-,-,-,-,-,12.331.858.934.888,12331858934888.0,,,,,,,12331858934888.0
-,-,-,12.331.858.934.888,75.918.007.633.891,40.127.914.461.199,30.327.656.026.425,13.823.434.497.036,39.049.625.504.430,74.198.720,211.578.571.256.589,12331858934888.0,75918007633891.0,40127914461199.0,30327656026425.0,13823434497036.0,39049625504430.0,74198720.0,211578571256589.0
7.386.506.130.213,7.386.506.130.213,7.386.506.130.213,12.314.435.210.240,(24.884.219.271.201),18.811.421.400.590,23.406.997.523.298,13.161.849.660.768,(33.299.089.216.629),14.188.525.801.280,31.086.427.238.559,12314435210240.0,-24884219271201.0,18811421400590.0,23406997523298.0,13161849660768.0,-33299089216629.0,14188525801280.0,31086427238559.0
