row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 01/01/2017(VND) > Giá trị,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 01/01/2017(VND) > Khả năngtrà nợ,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > Tăng trong năm,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > Giảm trong năm,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 31/12/2017(VND) > Giá trị,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 31/12/2017(VND) > Khả năngtrà nợ,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 01/01/2017(VND) > Giá trị,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 01/01/2017(VND) > Khả năngtrà nợ,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > Tăng trong năm,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > Giảm trong năm,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 31/12/2017(VND) > Giá trị,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2017 > 31/12/2017(VND) > Khả năngtrà nợ
a.,a.,a.,Gốc vay ngắn hạn,461.664.167.130,461.664.167.130,2.272.887.314.378,2.125.961.972.616,608.589.508.892,608.589.508.892,,461664167130.0,461664167130.0,2272887314378.0,2125961972616.0,608589508892.0,608589508892.0
a.,a.,a.,Vay ngân hàng,460.734.167.130,460.734.167.130,2.269.837.314.378,2.125.031.972.616,605.539.508.892,605.539.508.892,,460734167130.0,460734167130.0,2269837314378.0,2125031972616.0,605539508892.0,605539508892.0
a.,a.,a.,Vay đối tượng khác,930.000.000,930.000.000,3.050.000.000,930.000.000,3.050.000.000,3.050.000.000,,930000000.0,930000000.0,3050000000.0,930000000.0,3050000000.0,3050000000.0
b.,b.,b.,Gốc vay dài hạn,15.906.644.819.092,15.906.644.819.092,750.052.234.400,3.611.042.771.537,13.045.654.281.955,13.045.654.281.955,,15906644819092.0,15906644819092.0,750052234400.0,3611042771537.0,13045654281955.0,13045654281955.0
-,-,-,Từ 1 năm đến 5 năm,26.405.880.932,26.405.880.932,9.639.000.000,32.282.903.292,3.761.977.640,3.761.977.640,,26405880932.0,26405880932.0,9639000000.0,32282903292.0,3761977640.0,3761977640.0
-,-,-,Vay ngân hàng,26.405.880.932,26.405.880.932,9.639.000.000,32.282.903.292,3.761.977.640,3.761.977.640,,26405880932.0,26405880932.0,9639000000.0,32282903292.0,3761977640.0,3761977640.0
-,-,-,Trên 5 năm,15.880.238.938.160,15.880.238.938.160,740.413.234.400,3.578.759.868.245,13.041.892.304.315,13.041.892.304.315,,15880238938160.0,15880238938160.0,740413234400.0,3578759868245.0,13041892304315.0,13041892304315.0
-,-,-,Vay ngân hàng,5.910.276.935.835,5.910.276.935.835,740.002.748.719,962.155.944.844,5.688.123.739.710,5.688.123.739.710,,5910276935835.0,5910276935835.0,740002748719.0,962155944844.0,5688123739710.0,5688123739710.0
-,-,-,Vay Tập đoàn,9.969.962.002.325,9.969.962.002.325,410.485.681,2.616.603.923.401,7.353.768.564.605,7.353.768.564.605,,9969962002325.0,9969962002325.0,410485681.0,2616603923401.0,7353768564605.0,7353768564605.0
-,-,-,Cộng,16.368.308.986.222,16.368.308.986.222,3.022.939.548.778,5.737.004.744.153,13.654.243.790.847,13.654.243.790.847,,16368308986222.0,16368308986222.0,3022939548778.0,5737004744153.0,13654243790847.0,13654243790847.0
