row_label_raw,row_label_full,col_0,VNDGiá trị,numeric__VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Tăng trong năm,Số đầu năm > Tăng trong năm,Tăng trong năm,61.896.518.318,61896518318.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Từ việc mua công ty SGND (Thuyết minh số 4.3),Trong đó: > Từ việc mua công ty SGND (Thuyết minh số 4.3),Từ việc mua công ty SGND (Thuyết minh số 4.3),42.019.148.573,42019148573.0
Từ việc mua công ty HBI (Thuyết minh số 4.2),Trong đó: > Từ việc mua công ty HBI (Thuyết minh số 4.2),Từ việc mua công ty HBI (Thuyết minh số 4.2),19.877.369.745,19877369745.0
Số cuối năm,Trong đó: > Số cuối năm,Số cuối năm,61.896.518.318,61896518318.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Phân bổ trong năm,Số đầu năm > Phân bổ trong năm,Phân bổ trong năm,(4.107.564.479),-4107564479.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(4.107.564.479),-4107564479.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,57.788.953.839,57788953839.0
