row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,962.359.438.345,933.556.039.222,962359438345.0,933556039222.0
Lãi tiền gửi và lãi cho vay phải thu,Lãi tiền gửi và lãi cho vay phải thu,Lãi tiền gửi và lãi cho vay phải thu,564.081.260.097,627.183.394.594,564081260097.0,627183394594.0
"Lãi phải thu từ hợp đồng hợp tác kinh doanh (""HDHTKD"")","Lãi phải thu từ hợp đồng hợp tác kinh doanh (""HDHTKD"")","Lãi phải thu từ hợp đồng hợp tác kinh doanh (""HDHTKD"")",97.864.279.823,54.767.677.634,97864279823.0,54767677634.0
Phải thu từ HDHTKD (i),Phải thu từ HDHTKD (i),Phải thu từ HDHTKD (i),127.144.695.008,35.367.899.856,127144695008.0,35367899856.0
Phải thu ủy thác đầu tư,Phải thu ủy thác đầu tư,Phải thu ủy thác đầu tư,84.493.391.551,88.257.305.581,84493391551.0,88257305581.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,42.545.399.052,30.356.275.709,42545399052.0,30356275709.0
Đặt cọc,Đặt cọc,Đặt cọc,314.400.000,57.812.400.000,314400000.0,57812400000.0
Khác,Khác,Khác,45.916.012.814,39.811.085.848,45916012814.0,39811085848.0
Dài hạn,Dài hạn,Dài hạn,748.540.037.293,1.267.057.114.213,748540037293.0,1267057114213.0
Phải thu từ HDHTKD (i),Phải thu từ HDHTKD (i),Phải thu từ HDHTKD (i),694.935.616.633,1.214.335.693.553,694935616633.0,1214335693553.0
Đặt cọc để thực hiện dự án (ii),Đặt cọc để thực hiện dự án (ii),Đặt cọc để thực hiện dự án (ii),42.000.000.000,42.000.000.000,42000000000.0,42000000000.0
"Kỷ quỹ, ký cược","Kỷ quỹ, ký cược","Kỷ quỹ, ký cược",11.604.420.660,10.721.420.660,11604420660.0,10721420660.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.710.899.475.638,2.200.613.153.435,1710899475638.0,2200613153435.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(3.577.408.006),(1.010.353.212),-3577408006.0,-1010353212.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.707.322.067.632,2.199.602.800.223,1707322067632.0,2199602800223.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu các bên liên quan(Thuyết minh số 34),Trong đó: > Phải thu các bên liên quan(Thuyết minh số 34),Phải thu các bên liên quan(Thuyết minh số 34),1.241.634.230.776,1.575.092.178.028,1241634230776.0,1575092178028.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,465.687.836.856,624.510.622.195,465687836856.0,624510622195.0
