row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,1.263.183.847.791,1.048.555.343.415,,100.0,,1263183847791.0,1048555343415.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,465.398.174,2.156.460.549,,110.0,,465398174.0,2156460549.0
1.,1.,1.,Tiền,111,,465.398.174,2.156.460.549,,111.0,,465398174.0,2156460549.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,721.600.000.000,217.706.000.000,,120.0,,721600000000.0,217706000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,7.500.000.000,7.500.000.000,,121.0,,7500000000.0,7500000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2b,714.100.000.000,210.206.000.000,,123.0,,714100000000.0,210206000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,540.916.799.809,828.651.853.593,,130.0,,540916799809.0,828651853593.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,9.644.441.216,44.427.414.438,,131.0,,9644441216.0,44427414438.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,1.942.526.822,944.963.805,,132.0,,1942526822.0,944963805.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.4a,529.329.831.771,783.279.475.350,,136.0,,529329831771.0,783279475350.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,,-,-,,140.0,,,
1.,1.,1.,Hàng tồn kho,141,,-,-,,141.0,,,
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,201.649.808,41.029.273,,150.0,,201649808.0,41029273.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,183.174.535,22.554.000,,151.0,,183174535.0,22554000.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,-,,152.0,,,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.8,18.475.273,18.475.273,,153.0,,18475273.0,18475273.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
