row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023 > VND,31/12/2022 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023 > VND,numeric__31/12/2022 > VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,361.839.512.670,447.803.057.693,,5.0,361839512670.0,447803057693.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,6,2.149.614.440.113,1.374.241.514.119,,6.0,2149614440113.0,1374241514119.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,21.982.244.913.487,21.288.313.094.530,,7.0,21982244913487.0,21288313094530.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,18.732.244.913.487,21.288.313.094.530,,,18732244913487.0,21288313094530.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,3.250.000.000.000,-,,,3250000000000.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,-,9.615.227.826,,8.0,,9615227826.0
VI,A > VI,VI,Cho vay khách hàng,,68.312.370.572.824,61.824.957.481.409,,,68312370572824.0,61824957481409.0
1,A > 1,1,Cho vay khách hàng,9,69.059.040.694.653,62.508.119.103.848,,9.0,69059040694653.0,62508119103848.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(746.670.121.829),(683.161.622.439),,10.0,-746670121829.0,-683161622439.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,7.416.315.961.425,8.984.409.674.673,,11.0,7416315961425.0,8984409674673.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,7.431.411.470.963,8.211.557.247.166,,,7431411470963.0,8211557247166.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,-,789.550.640.503,,,,789550640503.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(15.095.509.538),(16.698.212.996),,,-15095509538.0,-16698212996.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",12,82.610.010.000,134.973.630.000,,12.0,82610010000.0,134973630000.0
4,A > 4,4,Đầu tư dài hạn khác,,82.610.010.000,134.973.630.000,,,82610010000.0,134973630000.0
X,A > X,X,Tài sân cố định,,243.920.503.501,204.658.281.552,,,243920503501.0,204658281552.0
1.,A > 1.,1.,Tài sân cố định hữu hình,13,77.571.834.265,72.511.644.976,,13.0,77571834265.0,72511644976.0
a,A > a,a,Nguyên giá TSCĐ,,307.401.197.342,294.450.310.903,,,307401197342.0,294450310903.0
b,A > b,b,Hao mòn TSCĐ,,(229.829.363.077),(221.938.665.927),,,-229829363077.0,-221938665927.0
3.,A > 3.,3.,Tài sân cố định vô hình,14,166.348.669.236,132.146.636.576,,14.0,166348669236.0,132146636576.0
a,A > a,a,Nguyên giá TSCĐ,,262.560.680.465,254.384.573.904,,,262560680465.0,254384573904.0
b,A > b,b,Hao mòn TSCĐ,,(96.212.011.229),(122.237.937.328),,,-96212011229.0,-122237937328.0
XII,A > XII,XII,Tài sân Có khác,15,11.646.947.894.274,10.878.584.347.789,,15.0,11646947894274.0,10878584347789.0
1,A > 1,1,Các khoản phải thu,,3.858.416.302.591,3.760.336.054.521,,,3858416302591.0,3760336054521.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,7.928.169.513.441,5.874.532.898.048,,,7928169513441.0,5874532898048.0
4,A > 4,4,Tài sân Có khác,,124.040.677.683,1.604.359.717.462,,,124040677683.0,1604359717462.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sân Có nội bảng khác,,(263.678.599.441),(360.644.322.242),,,-263678599441.0,-360644322242.0
,,,TỔNG TÀI SẢN CÓ,,112.195.863.808.294,105.147.556.309.591,,,112195863808294.0,105147556309591.0
