row_label_raw,row_label_full,col_0,Qua hạn,Qua hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng công triệu đồng,numeric__Qua hạn,numeric__Qua hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng công triệu đồng
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,3.743.167,-,-,-,-,3.743.167,,,3743167.0,,,,,3743167.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,39.600.185,-,-,-,-,39.600.185,,,39600185.0,,,,,39600185.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,20.932.422,10.811.934,2.089.250,-,-,33.833.606,,,20932422.0,10811934.0,2089250.0,,,33833606.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,1.220.511,-,-,-,-,1.220.511,,,1220511.0,,,,,1220511.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,44.547,113.073,(46.801),(26.991),-,83.828,,,44547.0,113073.0,-46801.0,-26991.0,,83828.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.284.230,2.474.708,24.124.091,68.953.822,142.365.419,109.472.053,85.536.526,436.210.849,3284230.0,2474708.0,24124091.0,68953822.0,142365419.0,109472053.0,85536526.0,436210849.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,-,8.363.655,6.759.426,51.723.047,34.417.992,52.621.823,153.935.943,50000.0,,8363655.0,6759426.0,51723047.0,34417992.0,52621823.0,153935943.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,5.838.767,-,5.838.767,,,,,,5838767.0,,5838767.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,4.199.527,-,4.199.527,,,,,,4199527.0,,4199527.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),39.028,-,22.665.213,133.078,267.122,55.415,240,23.160.096,39028.0,,22665213.0,133078.0,267122.0,55415.0,240.0,23160096.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.373.258,2.474.708,120.693.791,86.771.333,196.398.037,153.956.763,138.168.589,701.826.479,3373258.0,2474708.0,120693791.0,86771333.0,196398037.0,153956763.0,138168589.0,701826479.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,31.788,-,-,-,-,31.788,,,31788.0,,,,,31788.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,27.657.828,12.254.598,5.329.407,6.858.500,-,52.100.333,,,27657828.0,12254598.0,5329407.0,6858500.0,,52100333.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,246.620.325,41.881.726,137.678.266,21.278.339,18.752,447.477.408,,,246620325.0,41881726.0,137678266.0,21278339.0,18752.0,447477408.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,1.687,4.960,11.442,111.974,21.127,151.190,,,1687.0,4960.0,11442.0,111974.0,21127.0,151190.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,6.859.999,17.617.484,32.374.570,28.888.833,6.916.246,92.657.132,,,6859999.0,17617484.0,32374570.0,28888833.0,6916246.0,92657132.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,25.646.479,-,-,-,-,25.646.479,,,25646479.0,,,,,25646479.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,306.818.106,71.758.768,175.393.685,57.137.646,6.956.125,618.064.330,,,306818106.0,71758768.0,175393685.0,57137646.0,6956125.0,618064330.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.373.258,2.474.708,(186.124.315),15.012.565,21.004.352,96.819.117,131.202.464,83.762.149,3373258.0,2474708.0,-186124315.0,15012565.0,21004352.0,96819117.0,131202464.0,83762149.0
