row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,294.835.620.557,373.805.662.573,294835620557.0,373805662573.0
- Peter Cremer Canada LTD,- Peter Cremer Canada LTD,- Peter Cremer Canada LTD,99.781.000.000,-,99781000000.0,
- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,42.261.177.500,-,42261177500.0,
- Enerfo Pte.Ltd,- Enerfo Pte.Ltd,- Enerfo Pte.Ltd,74.207.542.500,122.042.351.813,74207542500.0,122042351813.0
"- The Delong Co., INC","- The Delong Co., INC","- The Delong Co., INC",52.424.604.935,24.399.761.623,52424604935.0,24399761623.0
- Cargill,- Cargill,- Cargill,-,89.624.546.826,,89624546826.0
"- CJ International Asia Pte,LTD","- CJ International Asia Pte,LTD","- CJ International Asia Pte,LTD",-,28.519.871.625,,28519871625.0
- Export Trading Commodities,- Export Trading Commodities,- Export Trading Commodities,-,18.228.944.016,,18228944016.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,26.161.295.622,90.990.186.670,26161295622.0,90990186670.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,600.615.782.212,536.384.986.328,600615782212.0,536384986328.0
Phải trả các bên liên quan(Thuyết minh số 31),Phải trả các bên liên quan(Thuyết minh số 31),Phải trả các bên liên quan(Thuyết minh số 31),16.020.369.240,12.875.368.651,16020369240.0,12875368651.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,911.471.772.009,923.066.017.552,911471772009.0,923066017552.0
