row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2021 (trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022,numeric__Ngày 31 tháng 12 năm 2021 (trình bày lại)
400,400,400,D. VỐN CHỦ SỞ HỮU,,21.270.957.604.962,22.031.321.132.756,,,21270957604962.0,22031321132756.0
410,410,410,I. Vốn chủ sở hữu,25,21.270.957.604.962,22.031.321.132.756,,25.0,21270957604962.0,22031321132756.0
411,411,411,1. Vốn góp của chủ sở hữu,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
412,412,412,2. Thặng dư vốn cổ phần,,7.310.458.742.807,7.310.458.742.807,,,7310458742807.0,7310458742807.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,,15.445.192.000,15.445.192.000,,,15445192000.0,15445192000.0
418,418,418,4. Quỹ đầu tư phát triển và dự phòng tài chính,,1.592.882.068.422,1.284.786.140.295,,,1592882068422.0,1284786140295.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,103.568.802.818,103.568.802.818,,,103568802818.0,103568802818.0
421,421,421,6. Lợi nhuận sau thuế đã thực hiện chưa phân phối,,3.306.180.965.907,4.480.031.128.008,,,3306180965907.0,4480031128008.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,,1.832.578.660.255,2.642.660.414.673,,,1832578660255.0,2642660414673.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối kỳ này,,1.473.602.305.652,1.837.370.713.335,,,1473602305652.0,1837370713335.0
423,423,423,7. Quỹ dự trữ bắt buộc hoạt động bảo hiểm,,638.658.717.043,577.618.921.373,,,638658717043.0,577618921373.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,,880.535.475.965,836.184.565.455,,,880535475965.0,836184565455.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,201.663.976.385.114,169.504.598.786.269,,,201663976385114.0,169504598786269.0
