row_label_raw,row_label_full,a),Ngắn hạn,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Ngắn hạn,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
,,,- Phải thu lãi tiền gửi ngân hàng,"423,492,458",,"296,122,106",,,,,,
,,,- Phải thu lãi cho vay,"12,470,411,372",,"5,612,258,125",,,,,,
,,,- Phải thu liên quan đến lợi nhuận được chia,-,,"990,100,000",,,,,,
,,,- Phải thu liên quan đến tiền cho mượn đến các tổ chức và cá nhân,"20,966,467,598","(184,937,470)","12,767,339,013","(184,937,470)",,,,,
,,,- Phải thu liên quan đến tiền cho mượn đến các bên liên quan,"51,358,502,815",,"36,000,000,000",,,,,,
,,,"- Phải thu liên quan đến các khoản xuất nguyên liệu, vật tư cho công trình chưa quyết toán","2,146,916,339",,"1,875,353,654",,,,,,
,,,- Phải thu Bảo hiểm xã hội liên quan đến các khoản chi hộ chưa quyết toán,"1,420,898,776",,-,,,,,,
,,,"- Ký quỹ, đặt cọc ngắn hạn (*)","2,280,230,227",,"3,748,797,103",,,,,,
,,,- Các khoản tạm ứng,"2,414,169,708",,"2,098,699,127",,,,,,
,,,- Phải thu khác,"206,107,276",,-,,,,,,
,,,Cộng,"93,687,196,568","(184,937,470)","63,388,669,128","(184,937,470)",,,,,
b),b),b),Dài hạn,,,,,,,,,
,,,- Khoản ký quỹ đầu tư dự án trồng rừng kinh tế theo công văn số 2135/CV-STC ngày 27/6/2008 của UBND Tỉnh Phú Yên,"400,000,000",-,"400,000,000",-,,,,,
,,,"- Các khoản ký quỹ, ký cược dài hạn về thuê mặt bằng","569,839,296",-,"750,000,000",-,,,,,
,,,- Phải thu liên quan đến khoản cho mượn (Công ty TNHH XD Đồng Long),"16,998,156,923",,,,,,,,
,,,Cộng,"17,967,996,219",-,"1,150,000,000",-,,,,,
