row_label_raw,row_label_full,14.,Phải trả người bán,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Phải trả người bán,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
a),a),a),Ngắn hạn,,,,,,,,,
,,,- Công ty TNHH SX TM Hóa Keo Bình Thạnh,"6,540,454,816","6,540,454,816","4,466,155,380","4,466,155,380",,,,,
,,,- Công ty CP Vũ Tuấn,"110,524,816,277","110,524,816,277","5,174,721,505","5,174,721,505",,,,,
,,,- Công Ty TNHH Lâm nghiệp & Thương mại Nguyên Thành Phát,-,-,"4,415,293,619","4,415,293,619",,,,,
,,,- Hợp tác xã An Tiếp,-,-,"2,066,291,908","2,066,291,908",,,,,
,,,- Phải trả các bên liên quan (b),"70,402,989,518","70,402,989,518","45,641,827,603","45,641,827,603",,,,,
,,,- Phải trả cho các đối tượng khác (*),"38,016,585,332","38,016,585,332","26,886,410,007","26,886,410,007",,,,,
,,,Cộng,"225,484,845,943","225,484,845,943","88,650,700,022","88,650,700,022",,,,,
b),b),b),Phải trả người bán là các bên liên quan,,,,,,,,,
,,,- Công ty CP Chế biến Gỗ Trường Thành (Daklak 2),"33,536,369,788","33,536,369,788",-,-,,,,,
,,,- Công ty CP Chế biến Gỗ Trường Thành (TTBD2),-,-,"5,323,791,375","5,323,791,375",,,,,
,,,- Công ty TNHH Kỹ nGhệ Gỗ Trường Thành (TTTĐ),"2,969,578,815","2,969,578,815","2,972,919,725","2,972,919,725",,,,,
,,,- Công ty CP Trường Thành Xanh,"20,974,936,190","20,974,936,190","20,826,069,454","20,826,069,454",,,,,
,,,- Công ty CP Công nghiệp Gỗ Trường Thành (TTI),"4,222,102,455","4,222,102,455","7,280,074,054","7,280,074,054",,,,,
,,,- Công ty CP Bao bì Trường Thành,"1,091,024,015","1,091,024,015","423,840,285","423,840,285",,,,,
,,,- Công ty TNHH Trồng rừng Trường Thành OJI (TTO),"7,608,978,255","7,608,978,255","8,430,717,300","8,430,717,300",,,,,
,,,- Công ty CP Nông Lâm Công nghiệp Trường An,-,-,"384,415,410","384,415,410",,,,,
,,,Cộng,"70,402,989,518","70,402,989,518","45,641,827,603","45,641,827,603",,,,,
