row_label_raw,row_label_full,2.,Phải thu của khách hàng,Số cuối năm,Số đầu năm,numeric__Phải thu của khách hàng,numeric__Số cuối năm,numeric__Số đầu năm
a),a),a),Ngắn hạn,,,,,
,,,- AHL,"96,961,525,821","136,144,935,956",,,
,,,- PIR,"59,311,719,934","44,006,831,564",,,
,,,- LAPGF,"62,426,841,299","53,420,720,275",,,
,,,- ALR,"48,437,877,805","17,253,983,276",,,
,,,- CPM,"43,342,132,314","15,062,229,480",,,
,,,- Công ty TNHH Lâm nghiệp Trường Vũ,"11,067,943,180","40,536,075,000",,,
,,,- Công ty TNHH Lâm nghiệp Hoàng Nam,"80,522,049,379","17,737,358,234",,,
,,,- Các bên liên quan (thuyết minh mục b),"281,078,094,759","353,761,832,568",,,
,,,- Các khách hàng khác,"168,848,300,235","140,867,842,739",,,
,,,Cộng (*),"851,996,484,726","818,791,809,092",,,
b),b),b),Phải thu của khách hàng là các bên liên quan,Số cuối năm,Số đầu năm,,,
,,,- Công ty CP Trường Thành (TTDL1),-,"117,407,659,855",,,
,,,- Công ty CP Chế biến Gỗ Trường Thành (TTDL2),-,"49,909,077,169",,,
,,,- Công ty CP Văn Công nghiệp Trường Thành (TTBD3),"141,822,317,792","113,091,367,471",,,
,,,- Công ty CP Thương mại XNK Trường Thành ĐắkNông,"97,033,032,580","70,214,202,021",,,
,,,- Công ty CP Chế biến Gỗ Trường Thành (BD2),"37,831,597,825",-,,,
,,,- Các bên liên quan khác,"4,391,146,562","3,139,526,052",,,
,,,Cộng,"281,078,094,759","353,761,832,568",,,
