row_label_raw,row_label_full,7.,Chi phí quản lý doanh nghiệp,Năm 2015,Năm 2014,numeric__Chi phí quản lý doanh nghiệp,numeric__Năm 2015,numeric__Năm 2014
,,,- Chi phí nhân viên quản lý,"55,265,582,666","44,803,921,678",,,
,,,"- Chi phí vật liệu quản lý, đồ dùng văn phòng","2,043,232,680","1,121,165,287",,,
,,,- Chi phí khấu hao TSCĐ,"2,314,865,787","1,966,692,580",,,
,,,"- Thuế, phí và lệ phí","2,463,808,277","1,916,883,437",,,
,,,- Chi phí dự phòng,"4,632,017,969","2,681,089,745",,,
,,,- Chi phí dịch vụ mua ngoài,"14,039,655,269","10,034,453,935",,,
,,,+ Chi phí đưa đón công nhân viên,"2,232,419,311","1,613,802,636",,,
,,,"+ Chi phí điện, nước, điện thoại","2,826,651,652","2,323,394,614",,,
,,,"+ CP thuế xe, văn phòng","3,287,345,786","1,694,203,370",,,
,,,+ Chi phí cước vận chuyển,"762,566,841","1,851,205,042",,,
,,,+ Chi phí khác,"4,930,671,679","2,551,848,273",,,
,,,- Chi phí bằng tiền khác,"3,582,876,082","3,801,772,657",,,
,,,"+ Chi phí công tác, tiếp khách","1,029,100,129","2,243,333,688",,,
,,,+ Chi phí khác,"2,553,775,953","1,558,438,969",,,
,,,Cộng,"84,342,038,730","66,325,979,320",,,
