row_label_raw,row_label_full,6.,Hàng tồn kho,Số cuối năm,Số đầu năm,numeric__Hàng tồn kho,numeric__Số cuối năm,numeric__Số đầu năm
,,,- Hàng đang đi trên đường,"576,623,405","2,183,340,585",,,
,,,- Nguyên liệu gỗ các loại,"780,818,548,779","760,776,436,264",,,
,,,- Vật liệu phụ,"26,155,738,674","24,634,183,255",,,
,,,"- Công cụ, dụng cụ","780,262,882","682,489,854",,,
,,,- Chi phí sản xuất kinh doanh dở dang,"511,004,644,729","407,163,482,493",,,
,,,- Thành phẩm,"66,927,967,511","42,494,985,504",,,
,,,- Hàng hóa,"20,552,372,289","16,830,408,291",,,
,,,- Hàng gửi bán,"3,654,263,128","75,041,296",,,
,,,- Dự phòng giảm giá hàng tồn kho,"(36,876,720,341)","(7,372,860,741)",,,
,,,Cộng,"1,373,593,701,056","1,247,467,506,802",,,
