row_label_raw,row_label_full,3.,Trả trước cho người bán,Số cuối năm,Số đầu năm,numeric__Trả trước cho người bán,numeric__Số cuối năm,numeric__Số đầu năm
a),a),a),Ngắn hạn,,,,,
,,,- Công ty TNHH MTV Lâm nghiệp Phước An,"3,602,419,393","2,714,843,711",,,
,,,- Công ty TNHH MTV TM Giấy Hưng Thịnh,-,"12,487,270,441",,,
,,,- Công ty TNHH Lâm nghiệp Phương Mai,"24,874,230,764",-,,,
,,,- Công ty CP Vận tải Vũ Thành,"3,791,890,937",-,,,
,,,- Các nhà cung cấp khác,"7,032,954,719","10,937,336,245",,,
,,,Cộng,"39,301,495,813","26,139,450,397",,,
b),b),b),Dài hạn,,,,,
,,,- Công ty CP Thành Phát,"2,350,000,000","2,350,000,000",,,
,,,- Công ty TNHH XD Đồng Long,-,"12,147,967,822",,,
,,,- Công ty TNHH MTV TM Giấy Hưng Thịnh,"12,487,270,441",-,,,
,,,- Công ty TNHH XD N.Đ.G,"2,999,678,000",-,,,
,,,- Các nhà cung cấp khác,"8,028,216,364","5,204,797,561",,,
,,,Cộng,"25,865,164,805","19,702,765,383",,,
