row_label_raw,row_label_full,CHỈ TIÊU,Khối lượng giao dịch thực hiện năm 2023,Giá trị khối lượng giao dịch thực hiện trong năm 2023,numeric__Khối lượng giao dịch thực hiện năm 2023,numeric__Giá trị khối lượng giao dịch thực hiện trong năm 2023
a) Của CTCK,a) Của CTCK,a) Của CTCK,,,,
- Cổ phiếu,a) Của CTCK > - Cổ phiếu,- Cổ phiếu,3.305.760,271.707.510.800,3305760.0,271707510800.0
- Trái phiếu,a) Của CTCK > - Trái phiếu,- Trái phiếu,9.900.000,1.113.350.600.000,9900000.0,1113350600000.0
- Chứng khoán ngân quỹ,- Chứng khoán ngân quỹ,- Chứng khoán ngân quỹ,,,,
- Chứng khoán khác,- Chứng khoán ngân quỹ > - Chứng khoán khác,- Chứng khoán khác,9.700,115.573.000,9700.0,115573000.0
Cộng,- Chứng khoán ngân quỹ > Cộng,Cộng,13.215.460,1.385.173.683.800,13215460.0,1385173683800.0
b) Của Nhà đầu tư,b) Của Nhà đầu tư,b) Của Nhà đầu tư,,,,
- Cổ phiếu,b) Của Nhà đầu tư > - Cổ phiếu,- Cổ phiếu,14.310.032.666,260.758.656.219.100,14310032666.0,260758656219100.0
- Trái phiếu,b) Của Nhà đầu tư > - Trái phiếu,- Trái phiếu,1.283.118,137.089.974.800,1283118.0,137089974800.0
- Chứng khoán khác,b) Của Nhà đầu tư > - Chứng khoán khác,- Chứng khoán khác,550.380.226,571.397.948.610,550380226.0,571397948610.0
Cộng,b) Của Nhà đầu tư > Cộng,Cộng,14.861.696.010,261.467.144.142.510,14861696010.0,261467144142510.0
