row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > Công ty TNHHChứng khoán ACB(""ACBS"") > BIDV và Công tyTNHH Chứng khoánNgân hàng Đầu tưvà Phát triển ViệtNam (""BSC"") > Công ty Cổ phầnChứng khoán PhúGia (""PHUGIASC"") > Công ty Chứngkhoán Ngân hàngViệt Nam ThịnhVượng (""VPBS"") > Công ty Cổ phầnChứng khoán FPT(""FPTS"") và Ngânhàng TMCP ViệtNam Thịnh Vượng(""VPB"") > Công ty Cổ phầnChứng khoán EuroCapital (""ECS"") > Công ty Cổ phầnChứng khoánIB (""IBSC"") và VPB",Ngày phát hành > Ngày 25 tháng4 năm 2012 > Ngày 30 tháng12 năm 2016 > Từ ngày 9tháng 7 năm2013 đến 17tháng 8 năm2015 > Ngày 31 tháng12 năm 2016 > Ngày 1 tháng4 năm 2014 > Ngày 28 tháng11 năm 2014 > Ngày 29 tháng12 năm 2016 > Ngày 27 tháng8 năm 2015 > Ngày 17 tháng11 năm 2015 > Ngày 27 tháng12 năm 2016,Số cuối năm > Giá trị > 820.108.381 > 240.000.000 > 6.546.000.000 > - > 930.000.000 > - > 1.000.000.000 > 183.000.000 > 600.000.000 > 1.700.000.000 > 431.000.000,Số cuối năm > Ngày đến hạn > Từ ngày 27tháng 4 năm 2017đến ngày 18 tháng6 năm 2023 > Từ ngày 30 tháng6 năm 2018 đếnngày 30 tháng 12năm 2020 > Ngày 30 tháng 12năm 2026 > Ngày 31 tháng 12năm 2023 > Ngày 28 tháng 12năm 2021 > Ngày 29 tháng 12năm 2020 > Từ ngày 27 tháng12 năm 2021 > Từ ngày 17 tháng12 năm 2018 đếnngày 17 tháng 12năm 2021 > Ngày 27 tháng 12năm 2020,Ngàn VND Số đầu nămGiá trị > 1.760.450.342 > - > 5.950.000.000 > - > 650.000.000 > 1.000.000.000 > - > 600.000.000 > 1.700.000.000 > -,numeric__Ngày phát hành > Ngày 25 tháng4 năm 2012 > Ngày 30 tháng12 năm 2016 > Từ ngày 9tháng 7 năm2013 đến 17tháng 8 năm2015 > Ngày 31 tháng12 năm 2016 > Ngày 1 tháng4 năm 2014 > Ngày 28 tháng11 năm 2014 > Ngày 29 tháng12 năm 2016 > Ngày 27 tháng8 năm 2015 > Ngày 17 tháng11 năm 2015 > Ngày 27 tháng12 năm 2016,numeric__Số cuối năm > Giá trị > 820.108.381 > 240.000.000 > 6.546.000.000 > - > 930.000.000 > - > 1.000.000.000 > 183.000.000 > 600.000.000 > 1.700.000.000 > 431.000.000,numeric__Số cuối năm > Ngày đến hạn > Từ ngày 27tháng 4 năm 2017đến ngày 18 tháng6 năm 2023 > Từ ngày 30 tháng6 năm 2018 đếnngày 30 tháng 12năm 2020 > Ngày 30 tháng 12năm 2026 > Ngày 31 tháng 12năm 2023 > Ngày 28 tháng 12năm 2021 > Ngày 29 tháng 12năm 2020 > Từ ngày 27 tháng12 năm 2021 > Từ ngày 17 tháng12 năm 2018 đếnngày 17 tháng 12năm 2021 > Ngày 27 tháng 12năm 2020,numeric__Ngàn VND Số đầu nămGiá trị > 1.760.450.342 > - > 5.950.000.000 > - > 650.000.000 > 1.000.000.000 > - > 600.000.000 > 1.700.000.000 > -
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(121.492.558),,(95.473.085),,-121492558.0,,-95473085.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.328.615.823,,11.564.977.257,,12328615823.0,,11564977257.0
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,11.510.416.174,,10.191.116.964,,11510416174.0,,10191116964.0
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,818.199.649,,1.373.860.293,,818199649.0,,1373860293.0
