row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,4.691.054.841.743,3.695.008.674.324,,100.0,,4691054841743.0,3695008674324.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,129.067.828.987,162.433.758.581,,110.0,,129067828987.0,162433758581.0
1.,1.,1.,Tiền,111,,129.067.828.987,136.087.813.376,,111.0,,129067828987.0,136087813376.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,26.345.945.205,,112.0,,,26345945205.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,601.507.157.420,1.303.653.590.635,,120.0,,601507157420.0,1303653590635.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,183.020.000.000,374.763.603.135,,121.0,,183020000000.0,374763603135.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,(5.418.875.000),(4.939.112.500),,122.0,,-5418875000.0,-4939112500.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b,423.906.032.420,933.829.100.000,,123.0,,423906032420.0,933829100000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.515.818.869.187,1.813.858.581.472,,130.0,,3515818869187.0,1813858581472.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,496.684.408.742,358.025.372.572,,131.0,,496684408742.0,358025372572.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,121.274.144.998,71.726.292.109,,132.0,,121274144998.0,71726292109.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.7,34.265.504.000,-,,135.0,,34265504000.0,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,2.976.196.845.086,1.474.992.808.222,,136.0,,2976196845086.0,1474992808222.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(112.602.033.639),(90.885.891.431),,137.0,,-112602033639.0,-90885891431.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.8,385.691.962.736,370.081.201.886,,140.0,,385691962736.0,370081201886.0
1.,1.,1.,Hàng tồn kho,141,,395.579.997.486,374.698.543.779,,141.0,,395579997486.0,374698543779.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(9.888.034.750),(4.617.341.893),,149.0,,-9888034750.0,-4617341893.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,58.969.023.413,44.981.541.750,,150.0,,58969023413.0,44981541750.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,10.183.933.813,4.160.534.794,,151.0,,10183933813.0,4160534794.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,48.171.307.156,38.478.469.382,,152.0,,48171307156.0,38478469382.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.17,613.782.444,2.342.537.574,,153.0,,613782444.0,2342537574.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
