row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,66.909.025.508,135.600.000,67.044.625.508,66909025508.0,135600000.0,67044625508.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,155.711.862.169,-,155.711.862.169,155711862169.0,,155711862169.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,222.620.887.677,135.600.000,222.756.487.677,222620887677.0,135600000.0,222756487677.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2017,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,8.402.957.085,92.660.000,8.495.617.085,8402957085.0,92660000.0,8495617085.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.916.956.523,27.120.000,2.944.076.523,2916956523.0,27120000.0,2944076523.0
Tại ngày 31 tháng 12 năm 2017,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,11.319.913.608,119.780.000,11.439.693.608,11319913608.0,119780000.0,11439693608.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,58.506.068.423,42.940.000,58.549.008.423,58506068423.0,42940000.0,58549008423.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,211.300.974.069,15.820.000,211.316.794.069,211300974069.0,15820000.0,211316794069.0
