row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,2.145.262,1.067.693,291.838,177.579,3.682.372,2145262.0,1067693.0,291838.0,177579.0,3682372.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,2.523,224.907,26.043,4.780,258.253,2523.0,224907.0,26043.0,4780.0,258253.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,140.968,1.347,5.950,56,148.321,140968.0,1347.0,5950.0,56.0,148321.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(30.626),(3.906),(2.664),(3.391),(40.587),-30626.0,-3906.0,-2664.0,-3391.0,-40587.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,2.258.127,1.290.041,321.167,179.024,4.048.359,2258127.0,1290041.0,321167.0,179024.0,4048359.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,318.714,721.361,173.985,129.590,1.343.650,318714.0,721361.0,173985.0,129590.0,1343650.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,59.413,139.680,26.060,19.837,244.990,59413.0,139680.0,26060.0,19837.0,244990.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(5.659),(3.850),(2.642),(2.960),(15.111),-5659.0,-3850.0,-2642.0,-2960.0,-15111.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,1,(27),3,23,-,1.0,-27.0,3.0,23.0,
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,372.469,857.164,197.406,146.490,1.573.529,372469.0,857164.0,197406.0,146490.0,1573529.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,1.826.548,346.332,117.853,47.989,2.338.722,1826548.0,346332.0,117853.0,47989.0,2338722.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.885.658,432.877,123.761,32.534,2.474.830,1885658.0,432877.0,123761.0,32534.0,2474830.0
