row_label_raw,row_label_full,CHỈ TIÊU,Khối lượng giao dịch thực hiện năm 2021,Giá trị khối lượng giao dịch thực hiện trong năm 2021,numeric__Khối lượng giao dịch thực hiện năm 2021,numeric__Giá trị khối lượng giao dịch thực hiện trong năm 2021
a) Của CTCK,a) Của CTCK,a) Của CTCK,,,,
- Cổ phiếu,a) Của CTCK > - Cổ phiếu,- Cổ phiếu,2.949.288,102.418.523.120,2949288.0,102418523120.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,,,
- Chứng khoán ngân quỹ,- Trái phiếu > - Chứng khoán ngân quỹ,- Chứng khoán ngân quỹ,23.514,1.010.031.750,23514.0,1010031750.0
- Chứng khoán khác,- Trái phiếu > - Chứng khoán khác,- Chứng khoán khác,310,5.819.900,310.0,5819900.0
Cộng,- Trái phiếu > Cộng,Cộng,2.973.112,103.434.374.770,2973112.0,103434374770.0
b) Của Nhà đầu tư,b) Của Nhà đầu tư,b) Của Nhà đầu tư,,,,
- Cổ phiếu,b) Của Nhà đầu tư > - Cổ phiếu,- Cổ phiếu,20.264.030.802,452.204.402.420.570,20264030802.0,452204402420570.0
- Trái phiếu,b) Của Nhà đầu tư > - Trái phiếu,- Trái phiếu,46.000.000,5.032.023.500.000,46000000.0,5032023500000.0
- Chứng khoán khác,b) Của Nhà đầu tư > - Chứng khoán khác,- Chứng khoán khác,525.894.410,1.898.400.766.900,525894410.0,1898400766900.0
Cộng,b) Của Nhà đầu tư > Cộng,Cộng,20.835.925.212,459.134.826.687.470,20835925212.0,459134826687470.0
