row_label_raw,row_label_full,Tài sản cố định hữu hình,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận chuyển và thiết bị truyền dẫn,Thiết bị quản lý,TSCĐ khác,Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận chuyển và thiết bị truyền dẫn,numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.245.760.016.064,24.106.962.091.920,420.586.698.418,28.816.136.955,25.386.625.448,33.827.511.568.805,9245760016064.0,24106962091920.0,420586698418.0,28816136955.0,25386625448.0,33827511568805.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,8.560.531.078,-,211.421.200,-,8.771.952.278,,8560531078.0,,211421200.0,,8771952278.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,14.577.537.710,76.976.915.738,692.865.724,1.544.925.141,-,93.792.244.313,14577537710.0,76976915738.0,692865724.0,1544925141.0,,93792244313.0
Điều chỉnh sau quyết toán,Nguyên giá > Điều chỉnh sau quyết toán,Điều chỉnh sau quyết toán,(359.026.938.411),126.266.913.279,103.809.458.621,2.589.123.237,-,(126.361.443.274),-359026938411.0,126266913279.0,103809458621.0,2589123237.0,,-126361443274.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.901.310.615.363,24.318.766.452.015,525.089.022.763,33.161.606.533,25.386.625.448,33.803.714.322.122,8901310615363.0,24318766452015.0,525089022763.0,33161606533.0,25386625448.0,33803714322122.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.692.762.223.640,16.890.216.299.722,397.499.245.277,24.687.176.411,21.281.799.833,21.026.446.744.883,3692762223640.0,16890216299722.0,397499245277.0,24687176411.0,21281799833.0,21026446744883.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,383.792.608.185,1.599.253.622.043,9.926.938.047,2.426.100.882,433.440.542,1.995.832.709.699,383792608185.0,1599253622043.0,9926938047.0,2426100882.0,433440542.0,1995832709699.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,1.277.122.760,-,-,-,988.464.264,2.265.587.024,1277122760.0,,,,988464264.0,2265587024.0
Điều chỉnh sau quyết toán,Giá trị hao mòn lũy kế > Điều chỉnh sau quyết toán,Điều chỉnh sau quyết toán,(126.083.695.982),64.792.754.849,54.671.364.674,1.880.135.126,-,(4.739.441.333),-126083695982.0,64792754849.0,54671364674.0,1880135126.0,,-4739441333.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.951.748.258.603,18.554.262.676.614,462.097.547.998,28.993.412.419,22.703.704.639,23.019.805.600.273,3951748258603.0,18554262676614.0,462097547998.0,28993412419.0,22703704639.0,23019805600273.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.552.997.792.424,7.216.745.792.198,23.087.453.141,4.128.960.544,4.104.825.615,12.801.064.823.922,5552997792424.0,7216745792198.0,23087453141.0,4128960544.0,4104825615.0,12801064823922.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.949.562.356.760,5.764.503.775.401,62.991.474.765,4.168.194.114,2.682.920.809,10.783.908.721.849,4949562356760.0,5764503775401.0,62991474765.0,4168194114.0,2682920809.0,10783908721849.0
