row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khẩu hao và hao mòn(Hoàn nhập dự phòng) dự phòngLãi chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệCó gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 11, 1223",Năm nay > 95.677.0601.469.250(183.181.853)(24.896.197)(547.043.567)523.270.610,Năm trước > 222.921.9251.499.96828.837.929(57.041.125)(419.671.584)275.575.838,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khẩu hao và hao mòn(Hoàn nhập dự phòng) dự phòngLãi chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệCó gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 11, 1223",numeric__Năm nay > 95.677.0601.469.250(183.181.853)(24.896.197)(547.043.567)523.270.610,numeric__Năm trước > 222.921.9251.499.96828.837.929(57.041.125)(419.671.584)275.575.838
08,08,08,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
09,09,09,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
10,10,10,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
11,11,11,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
12,12,12,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
14,14,14,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
17,17,17,(Lỗ) lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngTăng các khoản phải thu(Tăng) giảm hàng tồn khoTăng (giảm) các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt độngkinh doanh,,(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,52.122.951(529.670.677)5.645.694(235.225.770)1.256.851(247.070.875)(410.400),,,,
20,17 > 20,20,Lưu chuyển tiền thuần từ (sử dụngvào) hoạt động kinh doanh,,339.877.897,(953.352.226),,,339877897.0,-953352226.0
II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm tài sảncó địnhTiền chỉ cho vayTiền chỉ đầu tư góp vốn vàocông ty conTiền thu lãi tiền gửi,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm tài sảncó địnhTiền chỉ cho vayTiền chỉ đầu tư góp vốn vàocông ty conTiền thu lãi tiền gửi,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chỉ để mua sắm tài sảncó địnhTiền chỉ cho vayTiền chỉ đầu tư góp vốn vàocông ty conTiền thu lãi tiền gửi,,,-,(474.583)(436.270.264)-360.748,,,,
21,21,21,,,-,(474.583)(436.270.264)-360.748,,,,
23,23,23,,,-,(474.583)(436.270.264)-360.748,,,,
25,25,25,,,-,(474.583)(436.270.264)-360.748,,,,
27,27,27,,,-,(474.583)(436.270.264)-360.748,,,,
30,27 > 30,30,Lưu chuyển tiền thuần sử dụng vàohoạt động đầu tư,,(1.341.636.246),(436.384.099),,,-1341636246.0,-436384099.0
