row_label_raw,row_label_full,col_0,Công ty TNHH Bảo hiểm Tasco,Cộng,numeric__Công ty TNHH Bảo hiểm Tasco,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,,
Tăng trong năm,Số đầu năm > Tăng trong năm,Tăng trong năm,99.678.880.326,99.678.880.326,99678880326.0,99678880326.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,99.678.880.326,99.678.880.326,99678880326.0,99678880326.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,,
Khấu hao trong năm,Số đầu năm > Khấu hao trong năm,Khấu hao trong năm,2.491.972.008,2.491.972.008,2491972008.0,2491972008.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,2.491.972.008,2.491.972.008,2491972008.0,2491972008.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,97.186.908.318,97.186.908.318,97186908318.0,97186908318.0
