row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ dự trữbổ sung vốnđiều lệTriệu VND,Quỹdự phòngtài chínhTriệu VND,Các quỹkhác (i)Triệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ dự trữbổ sung vốnđiều lệTriệu VND,numeric__Quỹdự phòngtài chínhTriệu VND,numeric__Các quỹkhác (i)Triệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,9.376.965,(665.725),515.034,1.772.233,121,2.762.063,13.760.691,9376965.0,-665725.0,515034.0,1772233.0,121.0,2762063.0,13760691.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.089.051,2.089.051,,,,,,2089051.0,2089051.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,104.453,208.905,-,(313.358),-,,,104453.0,208905.0,,-313358.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(20.000),(20.000),,,,,,-20000.0,-20000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,896.274,-,-,-,-,(896.274),-,896274.0,,,,,-896274.0,
Mua cổ phiếu thưởng cho nhân viên (ii),Mua cổ phiếu thưởng cho nhân viên (ii),Mua cổ phiếu thưởng cho nhân viên (ii),-,-,-,-,-,(130.000),(130.000),,,,,,-130000.0,-130000.0
____,____,____,____,____,____,____,____,____,____,,,,,,,
Tại ngày 31 tháng 12 năm 2017,____ > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,10.273.239,(665.725),619.487,1.981.138,121,3.491.482,15.699.742,10273239.0,-665725.0,619487.0,1981138.0,121.0,3491482.0,15699742.0
Lợi nhuận thuần trong năm,____ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.124.316,5.124.316,,,,,,5124316.0,5124316.0
Trích lập các quỹ,____ > Trích lập các quỹ,Trích lập các quỹ,-,-,256.216,512.432,-,(768.648),-,,,256216.0,512432.0,,-768648.0,
"Trích lập Quỹ khen thưởng, phúc lợi","____ > Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(50.000),(50.000),,,,,,-50000.0,-50000.0
Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),____ > Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),2.612.638,-,-,-,-,(2.612.638),-,2612638.0,,,,,-2612638.0,
Mua cổ phiếu thưởng cho nhân viên (iii),____ > Mua cổ phiếu thưởng cho nhân viên (iii),Mua cổ phiếu thưởng cho nhân viên (iii),-,-,-,-,-,(100.000),(100.000),,,,,,-100000.0,-100000.0
____,____,____,____,____,____,____,____,____,____,,,,,,,
Tại ngày 31 tháng 12 năm 2018,____ > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,12.885.877,(665.725),875.703,2.493.570,121,5.084.512,20.674.058,12885877.0,-665725.0,875703.0,2493570.0,121.0,5084512.0,20674058.0
