row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A -,A -,A -,TÀI SẢN NGẮN HẠN,100,,4.136.553.227.758,4.192.536.620.335,,100.0,,4136553227758.0,4192536620335.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,248.200.131.191,143.073.489.593,,110.0,,248200131191.0,143073489593.0
1.,1.,1.,Tiền,111,,177.945.336.670,143.073.489.593,,111.0,,177945336670.0,143073489593.0
2.,2.,2.,Các khoản tương đương tiền,112,,70.254.794.521,-,,112.0,,70254794521.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,425.000.000.000,14.700.000.000,,120.0,,425000000000.0,14700000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.1,425.000.000.000,14.700.000.000,,123.0,,425000000000.0,14700000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.023.304.493.976,3.572.969.076.204,,130.0,,3023304493976.0,3572969076204.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.4,2.892.595.297.807,3.485.189.666.186,,131.0,,2892595297807.0,3485189666186.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,,6.740.580.113,8.335.729.926,,132.0,,6740580113.0,8335729926.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.3,62.730.940.840,62.939.045.836,,135.0,,62730940840.0,62939045836.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.5,60.662.738.216,16.999.521.255,,136.0,,60662738216.0,16999521255.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,(494.886.999),,137.0,,,-494886999.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,574.937.000,-,,139.0,,574937000.0,
IV.,IV.,IV.,Hàng tồn kho,140,V.6,308.550.374.402,323.240.777.933,,140.0,,308550374402.0,323240777933.0
1.,1.,1.,Hàng tồn kho,141,,308.550.374.402,323.240.777.933,,141.0,,308550374402.0,323240777933.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,131.498.228.189,138.553.276.605,,150.0,,131498228189.0,138553276605.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.10,6.047.993.323,1.576.922.000,,151.0,,6047993323.0,1576922000.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,123.296.749.206,97.203.395.227,,152.0,,123296749206.0,97203395227.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.12.2,2.153.485.660,39.772.959.378,,153.0,,2153485660.0,39772959378.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
