row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,A - TÀI SẢN NGÁN HẠN,100,,1.246.379.946.946,1.263.183.847.791,,100.0,,1246379946946.0,1263183847791.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,16.842.086.167,465.398.174,,110.0,,16842086167.0,465398174.0
1.,1.,1.,Tiền,111,,16.842.086.167,465.398.174,,111.0,,16842086167.0,465398174.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,359.600.000.000,721.600.000.000,,120.0,,359600000000.0,721600000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,7.500.000.000,7.500.000.000,,121.0,,7500000000.0,7500000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b,352.100.000.000,714.100.000.000,,123.0,,352100000000.0,714100000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,869.697.975.368,540.916.799.809,,130.0,,869697975368.0,540916799809.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,12.756.387.804,9.644.441.216,,131.0,,12756387804.0,9644441216.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,,325.236.845,1.942.526.822,,132.0,,325236845.0,1942526822.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.4a,856.616.350.719,529.329.831.771,,136.0,,856616350719.0,529329831771.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,,-,-,,140.0,,,
1.,1.,1.,Hàng tồn kho,141,,-,-,,141.0,,,
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,239.885.411,201.649.808,,150.0,,239885411.0,201649808.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,223.291.766,183.174.535,,151.0,,223291766.0,183174535.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,-,,152.0,,,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.9,16.593.645,18.475.273,,153.0,,16593645.0,18475273.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
