row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,4.031.824.933.474,5.351.692.520.963,,100.0,,4031824933474.0,5351692520963.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,253.130.302.165,101.436.456.286,,110.0,,253130302165.0,101436456286.0
1.,1.,1.,Tiền,111,,217.053.302.165,98.436.456.286,,111.0,,217053302165.0,98436456286.0
2.,2.,2.,Các khoản tương đương tiền,112,,36.077.000.000,3.000.000.000,,112.0,,36077000000.0,3000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,725.473.720.833,887.299.541.667,,120.0,,725473720833.0,887299541667.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,193.020.000.000,193.020.000.000,,121.0,,193020000000.0,193020000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,(5.038.279.167),(5.020.458.333),,122.0,,-5038279167.0,-5020458333.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b,537.492.000.000,699.300.000.000,,123.0,,537492000000.0,699300000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.473.571.510.288,3.861.942.225.341,,130.0,,2473571510288.0,3861942225341.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,374.901.404.874,428.564.441.476,,131.0,,374901404874.0,428564441476.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,V.4,69.790.471.571,122.138.612.325,,132.0,,69790471571.0,122138612325.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5,251.159.000.000,80.524.595.050,,135.0,,251159000000.0,80524595050.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,1.850.026.667.560,3.298.809.973.909,,136.0,,1850026667560.0,3298809973909.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(72.306.033.717),(68.095.397.419),,137.0,,-72306033717.0,-68095397419.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.8,460.516.615.594,409.152.086.811,,140.0,,460516615594.0,409152086811.0
1.,1.,1.,Hàng tồn kho,141,,471.278.632.766,420.372.965.652,,141.0,,471278632766.0,420372965652.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(10.762.017.172),(11.220.878.841),,149.0,,-10762017172.0,-11220878841.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,119.132.784.594,91.862.210.858,,150.0,,119132784594.0,91862210858.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,5.359.749.663,5.518.412.693,,151.0,,5359749663.0,5518412693.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,109.742.203.679,85.095.067.945,,152.0,,109742203679.0,85095067945.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.19a,4.030.831.252,1.248.730.220,,153.0,,4030831252.0,1248730220.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
