row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,"CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH (Lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khẩu hao và hao mòn tài sản cố định (""TSCĐ"") và bất động sản đầu tưHoàn nhập dự phòngLãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLợi nhuận từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trái phiếu","Thuyết minh > 10, 11, 1224",Năm nay > (268.130.157)6.583.948(128.326.513)(9.325.670)(119.134.036)459.188.565,Năm trước > 172.179.7998.419.424(26.876.510)(12.981.392)(744.660.650)548.037.985,"numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH (Lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khẩu hao và hao mòn tài sản cố định (""TSCĐ"") và bất động sản đầu tưHoàn nhập dự phòngLãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLợi nhuận từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trái phiếu","numeric__Thuyết minh > 10, 11, 1224",numeric__Năm nay > (268.130.157)6.583.948(128.326.513)(9.325.670)(119.134.036)459.188.565,numeric__Năm trước > 172.179.7998.419.424(26.876.510)(12.981.392)(744.660.650)548.037.985
08,08,08,"Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoGiảm (tăng) các khoản phải trảTăng (giảm) chi phí trả trướcTiền lãi vay và lãi hợp đồng hợp tác kinh doanh (""HĐHTKD"") đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh",27.1,(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),(55.881.344)(141.027.503)5.730.588145.085.3303.685.762(29.599.717)(549.614)(1.536.000),,271.0,,
15,15,15,"Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoGiảm (tăng) các khoản phải trảTăng (giảm) chi phí trả trướcTiền lãi vay và lãi hợp đồng hợp tác kinh doanh (""HĐHTKD"") đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh",27.1,(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),(55.881.344)(141.027.503)5.730.588145.085.3303.685.762(29.599.717)(549.614)(1.536.000),,271.0,,
17,17,17,"Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoGiảm (tăng) các khoản phải trảTăng (giảm) chi phí trả trướcTiền lãi vay và lãi hợp đồng hợp tác kinh doanh (""HĐHTKD"") đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh",27.1,(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),(55.881.344)(141.027.503)5.730.588145.085.3303.685.762(29.599.717)(549.614)(1.536.000),,271.0,,
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(250.081.375),(74.092.498),,,-250081375.0,-74092498.0
,,,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm, xây dựng TSCĐ",,(1.637.491)-,(2.222.393)207.000.000(51.179.497)477.881.753,,,,
21,21,21,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm, xây dựng TSCĐ",,(1.637.491)-,(2.222.393)207.000.000(51.179.497)477.881.753,,,,
22,22,22,Tiền thu do thanh lý TSCĐ,,(1.637.491)-,(2.222.393)207.000.000(51.179.497)477.881.753,,,,
23,22 > 23,23,Tiền chi cho vay,,(907.273.333)1.020.281.565,20.000.000,,,,20000000.0
24,22 > 24,24,Tiền thu hồi cho vayTiền thu hồi đầu tư góp vốn vào đơn vị khác,,434.414.952,164.212,,,434414952.0,164212.0
26,22 > 26,26,Tiền thu hồi cho vayTiền thu hồi đầu tư góp vốn vào đơn vị khác,,434.414.952,164.212,,,434414952.0,164212.0
27,22 > 27,27,"Tiền thu lãi cho vay, lãi tiền gửi và cổ tức",,266.513.515,,,,266513515.0,
30,22 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,812.299.208,651.644.075,,,812299208.0,651644075.0
