row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí lãi vay,Ngắn hạn > Chi phí lãi vay,Chi phí lãi vay,3.786.553.095,3.227.040.751,3786553095.0,3227040751.0
Chi phí phát hành trái phiếu,Ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,15.908.108,15.908.108,15908108.0,15908108.0
Chi phí lãi HĐHTKD,Ngắn hạn > Chi phí lãi HĐHTKD,Chi phí lãi HĐHTKD,2.427.180,2.427.180,2427180.0,2427180.0
Chi phí hoạt động,Ngắn hạn > Chi phí hoạt động,Chi phí hoạt động,-,11.361.155,,11361155.0
Khác,Ngắn hạn > Khác,Khác,3.385.179,4.495.837,3385179.0,4495837.0
,,,3.808.273.562,3.261.233.031,3808273562.0,3261233031.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay,Dài hạn > Chi phí lãi vay,Chi phí lãi vay,163.412.260,326.824.519,163412260.0,326824519.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.971.685.822,3.588.057.550,3971685822.0,3588057550.0
