row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,17.127.409,828.197,1.588.748,803.078,305.174,4.699.337,1.236.503,26.588.446,17127409.0,828197.0,1588748.0,803078.0,305174.0,4699337.0,1236503.0,26588446.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,171.275,-,-,-,-,-,-,171.275,171275.0,,,,,,,171275.0
Tăng vốn do trả cổ tức bằng cổ phiếu (iii),Tăng vốn do trả cổ tức bằng cổ phiếu (iii),Tăng vốn do trả cổ tức bằng cổ phiếu (iii),856.370,-,-,-,-,(856.370),-,-,856370.0,,,,,-856370.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.519.627,(29.212),3.490.415,,,,,,3519627.0,-29212.0,3490415.0
Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,-,-,301.476,151.674,229.846,(682.996),-,-,,,301476.0,151674.0,229846.0,-682996.0,,
Trả cổ tức trong năm bằng tiền mặt (iii),Trả cổ tức trong năm bằng tiền mặt (iii),Trả cổ tức trong năm bằng tiền mặt (iii),-,-,-,-,-,(1.027.645),(26.848),(1.054.493),,,,,,-1027645.0,-26848.0,-1054493.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(3.185),-,(167.568),-,-,(170.753),,,-3185.0,,-167568.0,,,-170753.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(199.348),-,(199.348),,,,,,-199348.0,,-199348.0
Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,-,-,-,-,1.992,(1.992),-,-,,,,,1992.0,-1992.0,,
Tăng do bán một phần sở hữu tại Công ty Tài chính TNHH MB Shinsei (*),Tăng do bán một phần sở hữu tại Công ty Tài chính TNHH MB Shinsei (*),Tăng do bán một phần sở hữu tại Công ty Tài chính TNHH MB Shinsei (*),-,-,-,-,-,615.000,-,615.000,,,,,,615000.0,,615000.0
Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,-,-,(437),(378),(1.266),-,2.081,-,,,-437.0,-378.0,-1266.0,,2081.0,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(88.285),-,(88.285),,,,,,-88285.0,,-88285.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,18.155.054,828.197,1.886.602,954.374,368.178,5.977.328,1.431.437,29.601.170,18155054.0,828197.0,1886602.0,954374.0,368178.0,5977328.0,1431437.0,29601170.0
