row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,Loại trừ nội bộ và điều chỉnh VND,Tổng cộng VND,numeric__Kinh doanh khí và các sản phẩm khí VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,numeric__Loại trừ nội bộ và điều chỉnh VND,numeric__Tổng cộng VND
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,104.151.039.062.605,646.982.005.734,(14.844.114.555.014),89.953.906.513.325,104151039062605.0,646982005734.0,-14844114555014.0,89953906513325.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(91.291.345.885.312),(731.390.205.741),14.975.022.286.740,(77.047.713.804.313),-91291345885312.0,-731390205741.0,14975022286740.0,-77047713804313.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(87.153.983.122.314),(689.068.258.884),14.814.066.323.571,(73.028.985.057.627),-87153983122314.0,-689068258884.0,14814066323571.0,-73028985057627.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.666.359.002.808),(311.965.489),122.799.105.206,(2.543.871.863.091),-2666359002808.0,-311965489.0,122799105206.0,-2543871863091.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(1.471.003.760.190),(42.009.981.368),38.156.857.963,(1.474.856.883.595),-1471003760190.0,-42009981368.0,38156857963.0,-1474856883595.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,12.859.693.177.293,(84.408.200.007),130.907.731.726,12.906.192.709.012,12859693177293.0,-84408200007.0,130907731726.0,12906192709012.0
Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,,,,26.727.700.788,,,,26727700788.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,2.272.915.648.323,,,,2272915648323.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(586.713.077.889),,,,-586713077889.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,20.419.228.976,,,,20419228976.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,14.639.542.209.210,,,,14639542209210.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(2.812.599.931.853),,,,-2812599931853.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(33.846.797.814),,,,-33846797814.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,11.793.095.479.543,,,,11793095479543.0
