row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,90.014.136.902.542,100.723.549.227.433,,,90014136902542.0,100723549227433.0
02,02,02,Các khoản giảm trừ doanh thu,,60.230.389.217,-,,,60230389217.0,
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),25,89.953.906.513.325,100.723.549.227.433,,25.0,89953906513325.0,100723549227433.0
11,11,11,Giá vốn hàng bán và cung cấp dịch vụ,26,73.028.985.057.627,79.409.012.569.544,,26.0,73028985057627.0,79409012569544.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,16.924.921.455.698,21.314.536.657.889,,,16924921455698.0,21314536657889.0
21,21,21,Doanh thu hoạt động tài chính,27,2.272.915.648.323,1.568.073.330.550,,27.0,2272915648323.0,1568073330550.0
22,22,22,Chi phí tài chính,28,586.713.077.889,671.395.477.079,,28.0,586713077889.0,671395477079.0
23,23,23,- Trong đó: Chi phí lãi vay,28,339.976.056.558,336.861.023.097,,28.0,339976056558.0,336861023097.0
24,24,24,Phần lãi trong công ty liên kết,,26.727.700.788,31.818.633.340,,,26727700788.0,31818633340.0
25,25,25,Chi phí bán hàng,29,2.543.871.863.091,2.440.389.587.646,,29.0,2543871863091.0,2440389587646.0
26,26,26,Chi phí quản lý doanh nghiệp,30,1.474.856.883.595,1.074.753.539.576,,30.0,1474856883595.0,1074753539576.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 + 24 - 25 - 26),,14.619.122.980.234,18.727.890.017.478,,,14619122980234.0,18727890017478.0
31,31,31,Thu nhập khác,,33.550.256.202,111.967.278.406,,,33550256202.0,111967278406.0
32,32,32,Chi phí khác,,13.131.027.226,33.582.435.496,,,13131027226.0,33582435496.0
40,40,40,Lợi nhuận khác (40 = 31 - 32),,20.419.228.976,78.384.842.910,,,20419228976.0,78384842910.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,14.639.542.209.210,18.806.274.860.388,,,14639542209210.0,18806274860388.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",31,2.812.599.931.853,3.709.948.669.392,,31.0,2812599931853.0,3709948669392.0
52,52,52,Chi phí thuế TNDN hoãn lại,31,33.846.797.814,29.933.901.568,,31.0,33846797814.0,29933901568.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,11.793.095.479.543,15.066.392.289.428,,,11793095479543.0,15066392289428.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Chủ sở hữu của Tổng Công ty Khí Việt Nam - Công ty Cổ phần,,11.606.030.646.959,14.798.317.219.715,,,11606030646959.0,14798317219715.0
62,62,62,Cổ đông không kiểm soát,,187.064.832.584,268.075.069.713,,,187064832584.0,268075069713.0
70,70,70,Lãi cơ bản trên cổ phiếu,23(a),4.972,6.280,,,4972.0,6280.0
71,71,71,Lãi suy giảm trên cổ phiếu,23(b),4.972,6.280,,,4972.0,6280.0
,,,Đặng Thị Hồng Yến Người lập,Nguyễn Anh Tuấn Phó Ban Kế toán phụ trách kế toán,Phạm Văn Phong Tổng Giám đốc Ngày 28 tháng 2 năm 2024,Phạm Văn Phong Tổng Giám đốc Ngày 28 tháng 2 năm 2024,,,,
