row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,Loại trừ nội bộ và điều chỉnh VND,Tổng cộng VND,numeric__Kinh doanh khí và các sản phẩm khí VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,numeric__Loại trừ nội bộ và điều chỉnh VND,numeric__Tổng cộng VND
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,117.153.567.279.383,85.900.626.991,(16.515.918.678.941),100.723.549.227.433,117153567279383.0,85900626991.0,-16515918678941.0,100723549227433.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(99.269.838.803.790),(274.281.292.114),16.619.964.399.138,(82.924.155.696.766),-99269838803790.0,-274281292114.0,16619964399138.0,-82924155696766.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(95.640.609.766.673),(229.311.818.787),16.460.909.015.916,(79.409.012.569.544),-95640609766673.0,-229311818787.0,16460909015916.0,-79409012569544.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.561.046.325.536),(119.636.347),120.776.374.237,(2.440.389.587.646),-2561046325536.0,-119636347.0,120776374237.0,-2440389587646.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(1.068.182.711.581),(44.849.836.980),38.279.008.985,(1.074.753.539.576),-1068182711581.0,-44849836980.0,38279008985.0,-1074753539576.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,17.883.728.475.593,(188.380.665.123),104.045.720.197,17.799.393.530.667,17883728475593.0,-188380665123.0,104045720197.0,17799393530667.0
Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,,,,31.818.633.340,,,,31818633340.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.568.073.330.550,,,,1568073330550.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(671.395.477.079),,,,-671395477079.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,78.384.842.910,,,,78384842910.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,18.806.274.860.388,,,,18806274860388.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(3.709.948.669.392),,,,-3709948669392.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(29.933.901.568),,,,-29933901568.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,15.066.392.289.428,,,,15066392289428.0
